Year	Award	Category	Work	Result
1992	8th Soap Opera Digest Awards	Outstanding Female Newcomer: Daytime	The Young and the Restless	Nominated
1994	10th Soap Opera Digest Awards	Outstanding Scene Stealer	The Young and the Restless	Won
1994	26th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
1995	11th Soap Opera Digest Awards	Hottest Female Star	The Young and the Restless	Nominated
1996	27th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
1996	23rd Daytime Emmy Awards	Outstanding Supporting Actress in a Drama Series	The Young and the Restless	Nominated
1997	24th Daytime Emmy Awards	Outstanding Supporting Actress in a Drama Series	The Young and the Restless	Nominated
1997	28th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
1998	25th Daytime Emmy Awards	Outstanding Supporting Actress in a Drama Series	The Young and the Restless	Nominated
1998	29th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
1999	30th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	Diagnosis Murder	Nominated
1999	30th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
2001	31st NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
2003	34th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
2003	18th Soap Opera Digest Awards	Favorite Return	The Young and the Restless	Nominated
2004	35th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
2005	19th Soap Opera Digest Awards	Outstanding Actress in a Supporting Role	The Young and the Restless	Nominated
2005	36th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
2006	37th NAACP Image Award	Outstanding Actress in a Daytime Drama Series	The Young and the Restless	Won
