"Pos","No","Driver","Constructor","Laps","Time/Retired","Grid","Points"
"1","1","Emerson Fittipaldi","McLaren-Ford","53","1:39:26.29","5","9"
"2","24","James Hunt","Hesketh-Ford","53","+ 5.91","6","6"
"3","7","Carlos Reutemann","Brabham-Ford","53","+ 17.06","3","4"
"4","11","Clay Regazzoni","Ferrari","53","+ 35.79","7","3"
"5","4","Patrick Depailler","Tyrrell-Ford","53","+ 54.25","8","2"
"6","12","Niki Lauda","Ferrari","53","+ 1:19.65","4","1"
"7","28","Mark Donohue","Penske-Ford","52","+ 1 Lap","16",""
"8","6","Jacky Ickx","Lotus-Ford","52","+ 1 Lap","18",""
"9","9","Vittorio Brambilla","March-Ford","52","+ 1 Lap","12",""
"10","22","Graham Hill","Lola-Ford","52","+ 1 Lap","21",""
"11","3","Jody Scheckter","Tyrrell-Ford","52","+ 1 Lap","9",""
"12","16","Tom Pryce","Shadow-Ford","51","Transmission","14",""
"13","23","Rolf Stommelen","Lola-Ford","51","+ 2 Laps","19",""
"14","2","Jochen Mass","McLaren-Ford","50","+ 3 Laps","13",""
"Ret","8","Carlos Pace","Brabham-Ford","46","Engine","2",""
"NC","20","Arturo Merzario","Williams-Ford","44","Not Classified","20",""
"Ret","27","Mario Andretti","Parnelli-Ford","27","Transmission","10",""
"Ret","14","Mike Wilds","BRM","24","Engine","22",""
"Ret","5","Ronnie Peterson","Lotus-Ford","15","Engine","11",""
"Ret","21","Jacques Laffite","Williams-Ford","15","Gearbox","17",""
"Ret","30","Wilson Fittipaldi","Fittipaldi-Ford","12","Accident","23",""
"DSQ","18","John Watson","Surtees-Ford","6","Disqualified","15",""
"DNS","17","Jean-Pierre Jarier","Shadow-Ford","0","Transmission","1",""
