Year	Seniors (Trood Award & Rodda Medal)	Reserves (Rex Hartley Medal)	Under 18's (Bruce Wilkinson Medal)	Under 16's (Shaw/Carter Medal)
1954	Bob Mason (Sale) (20 Votes)	Rex Donnelly (Moe) (19)		
1955	Bob Mason (Sale) (23)	Ron Hayes (Warragul) (20)		
1956	Noel Alford (Traralgon) (18)	"Mossy" Morgan (Trafalgar) (33)		
1957	John Nix (Sale) (21)	"Mossy" Morgan (Trafalgar) (16)	M.James (Morwell) (19)	
1958	Lester Ross (Moe) (31)	Tom Hart (Sale) (33)	M.West (Warragul) (14)	
1959	Peter Bevilacqua (Yarragon) (19)	Ray Pollock (Yallourn)	N.Hall (Yallourn) (12)	
1960	Steve Szabo (Morwell) (20)	Allan Rankin (Trafalgar) (20)	G.Townsend (St Pat's) (22)	
1961	Kevin Coverdale (Bairnsdale) (24)	Jack Vinall (Yallourn) (20)	G.Townsend (St Pat's) (31)	
1962	Ric Belford (Yallourn) (27)	Tom O'Callaghan (Traralgon) (18)	T.Hunter (Traralgon) (29)	
1963	Allan Steele (Moe) (18)	Ron Serong (Warragul) (32)	R.Foster (St Pat's A) (35)	WEST ZONE (Under 18's)
1964	Mike Collins (Yallourn) (17)	Max Prendergast (Bairnsdale) (27)	J.Barnett (Sale) (23)	B.Pickering (Trar. Colts) (12)
1965	Steve Szabo (Morwell) (26)	Richard Evans (Maffra) (20)	J.Barnett (Sale) (25)	P.Lerstang (Traraglon Colts) (23)
1966	Terry Hunter (Traralgon) (15)	Les Roberts (Sale) (21)	G.Fletcher (St Pat's) (20)	C.Luxford (Morwell) (18)
1967	George Brayshaw (Traralgon) (15)	Les Roberts (Sale) (12)	D.Scott (Heyfield) (23)	R.Baldry (Warragul) (12)
1968	Les Hawken (Trafalgar) (31)	Peter Rodaughan (Moe) (28)	J.Welsh (St Pat's) (30)	E.Gray (Trar. Colts) (25)
1969	John Gallus (Bairnsdale) (37)	Barry Taylor (Yallourn) (14)	P.Speed (Sale) (22)	M.Mancuso (Traralgon) (11)
1970	John Gallus (Maffra) (30)	Lyle Berry (Heyfield) (18)	A.Gallagher (St Pat's) (27)	G.McFarlane (Morwell) (13)
1971	Terry Benton (Leongatha) (20)	Graeme Anderson (Heyfield) (18)	I.Stanley (Traralgon) (19)	P.Shields (Moe) (15)
1972	Henro Kornacki (Morwell) (27)	Barry Taylor (Yallourn) (13)	T.Munro (Traralgon) (23)	L.Ponton (Trar. Colts) (18)
1973	Barry Rowlings (Moe) (35)	Jack Vardy (Maffra) (21)	A.Williams (Traralgon) (19)	C.Carr (Morwell) (18)
1974	Barry Rowlings (Moe) (28)	Gus Eaton (Moe) (20)	J.Buntine (Sale) (24)	S.McNamara (Leongatha) (15)
1975	John Gallus (Warragul) (28)	Peter Pacunskis (Traralgon) (15)	P.Boyce (Moe) (20)	
1976	Ray Christine (Bairnsdale) (19)	Jack Vardy (Maffra) (17)	J.Morrison (St Pat's) (25)	
1977	Peter Hall (Traralgon) (14)	Jack Vardy (Maffra) (14)	C.Dowd (Leongatha)	
1978	Jeff Mogel (Morwell) (22)	John Kimberley (Yallourn) (18)	W.McInnes (Yallourn) (25)	
1979	Jeff Gieschen (Maffra) (22)	Allan Light (Warragul) (24)	A.Morrison (Warragul) (24)	
1980	Ian Salmon (Leongatha) (24)	Jeff Swenson (Newborough) (24)	R.Copeland (Morwell)	
1981	Ray Mildenhall (Yallorn/YNth) (24)	Jock Eason (Moe) (15)	M.Trewella (Warragul) (27)	
1982	Jeff Gieschen (Maffra) (27)	Kasey Plemper (Moe) (17)	G.Scott (Bairnsdale) (27)	
	David Vogel (Morwell) (27)			
1983	Ray Mildenhall (Yallorn/YNth) (24)	Greg Roughead (Leongatha) (27)	C.Dilettoso (Maffra) (33)	
1984	Peter Hall (Traralgon) (27)	Gary House (TTU) (17)	G.Rankin (Warragul) (22)	
1985	Rod Kerr (Morwell) (30)			
