State	City/county	Population served	Charter type	Station name	Web site
MO	St. Charles County; St. Charles		E	Lindenwood University (LUTV)	http://www.lindenwood.edu/lutv
MO	St. Louis County; St. Louis	319,294	PE	St. Louis Cooperating School Districts	http://www.csd.org/Teacher%20Resources/videos.html
MO	Black Jack	319,294	E	Gateway TV News Network (GTN TV)	http://www.gtntv.com
MO	Blue Springs		G	Blue Springs City TV (CTV-7)	http://www.bluespringsgov.com/index.aspx?nid=127&PREVIEW=YES
MO	Brentwood		G	Brentwood City TV	http://www.brentwoodmo.org/index.aspx?nid=135
MO	Cape Girardeau; Jackson		PG	Public Access Cable TV (CG993)	http://www.cityofcapegirardeau.org/CityManagersOffice/communication.aspx
MO	Clarksville		P	University of the Ozarks (KUOZ-TV 6)	http://admissions.ozarks.edu/studentlife/organizations/detail.asp?id=13
MO	Columbia	108,500	P	Columbia Access Television	http://columbiaaccess.tv
MO	Columbia	108,500	E	University of Missouri TV (MUTV)	http://mutv.missouri.edu
MO	Columbia	108,500	G	Columbia City Channel	http://www.gocolumbiamo.com/TCC
MO	Florissant		G	Florissant City TV	http://tv.florissantmo.com/Cablecast/Public/About.aspx?ChannelID=1
MO	Hillsboro		EG	Jefferson College TV (JCTV)	http://www.jeffco.edu/jeffco/index.php?option=com_content&task=view&id=360&Itemid=378
MO	Independence	116,830	G	Independence City 7	http://www.ci.independence.mo.us/city7
MO	Jefferson City	40,000	P	Jefferson City Access TV 81 (JCTV)	http://www.facebook.com/pages/JCTV/125999790938 or http://mappingaccess.org/node/149
MO	Jefferson City	40,000	E	Lincoln University (JCTV)	http://www.lincolnu.edu/web/media/media;jsessionid=E647D82922CE0B8B0C017D57272167F1
MO	Kansas City		E	Kansas City Park Hill School District TV – Channel 18	http://www.parkhill.k12.mo.us/Pages/ParkHillTV-Channel18.aspx
MO	Kansas City		E	University of Missouri – Kansas City (UMKC)	https://www.umkc.edu/ia/its/cable
MO	Kansas City		G	Kansas City (KCCG-TV2)	http://www.kcmo.org/CKCMO/Depts/CityManagersOffice/CityCommunications/Channel2
MO	Lebanon		PEG	Lebanon Community Access Channel (JTV)	http://www.lebanon.k12.mo.us/peg
MO	Liberty		PE	Liberty School District Cable TV – Channel 18 (KLPS-TV)	http://www.liberty.k12.mo.us/news/klps-tv-18
MO	Liberty		G	Liberty Cable – Channel 2	http://mo-liberty.civicplus.com/index.aspx?SID=278
MO	Pleasant Hill		PG	Pleasant Hill Government Access	http://www.pleasanthill.com/DocumentView.asp?DID=85
MO	Poplar Bluff		PG	Poplar Bluff City Cable 2	http://mappingaccess.org/node/159
MO	O'Fallon		G	OFallonTV	http://www.ofallon.mo.us/dept_OFallonTV.htm
MO	Raymore		PG	Raymore – Channel 7	http://www.raymore.com/index.aspx?NID=382
MO	Rolla	19,559	PG	Rolla – Channel 16	http://www.rollachannel6.com
MO	Springfield		P	Springfield Cable 25	http://mappingaccess.org/node/158
MO	Springfield		G	Springfield CityView	http://www.springfieldmo.gov/cityview
MO	St. Charles		G	St. Charles City Channel	http://www.stcharlescitymo.gov/Departments/MediaDepartment/tabid/145
MO	Ste. Genevieve	4,476	G	Ste. Genevieve Community TV	http://www.stegentv.net
MO	St. Joseph		E	Missouri Western State University Educational Access – Channel 39	http://www.missouriwestern.edu/imc/vs/mwtelevision.asp
MO	St. Louis	319,294	P	St. Louis Community Media (KDHX)	http://kdhx.org
MO	St. Louis	319,294	E	St. Louis Higher Education Channel (HECTV)	http://www.hectv.org
MO	St. Louis	319,294	E	St. Louis TV (STL TV)	http://stltv.net
MO	St. Louis	319,294	E	St. Louis Public Schools TV (SLPS TV)	http://www.slps.org/19621051994538800/site/default.asp
MO	St. Peters	319,294	G	St. Peters TV (SPTV)	http://www.stpetersmo.net/sptv.aspx
MO	Warrensburg		E	University of Central Missouri – Central TV	http://www.ucmo.edu/orgrequest/orgview.cfm?caorgID=529
