Name	Topic	Cost	Target age	Advertising
Ask A Biologist	Biology	Free	5+	None
Archimedes-lab.org	Mathematics	Free	10+	Yes - limited
Awesome Library	All	Free	All	Yes - large
Bitesize by the BBC	Art & Design, Business Studies, Design & Technology, DiDA, Drama, English, English Literature, French, Geography, German, History, ICT, Irish, Maths, Music, Physical Education, Religious Studies, Science, Spanish	Free	5-16	None
BrainPop	Science, Social studies, English, Maths, Art & Music, Health, Technology	from US$75/year	4-17	None
Cut-the-Knot	Maths	Free	8+	Yes - extensive
Fact Monster	World & News, U.S., People, English, Science, Math & Money, Sports	Free	4-14 (K-8)	Yes
Geometry from the Land of the Incas	Geometry	Free	12+	Yes - extensive
HackMath.net	Mathematics	Free	9-18	None
HyperPhysics	Physics	Free	15+	None
IXL	Math	$80/year	4-12	?
Le Patron	French	Free	12+	Yes
LearnAlberta.ca	Everything (mainly aimed at teachers)	Free	5-18	No
Nafham	Multidisciplinary 5-20min K-12 school video lessons for Arabic students	Free	6-18	Yes
Starfall.com	Reading	Free	2-9	None
Smartygames.com	Math Games, Reading, Art, Word Scramble, Spanish, Puzzles, Kids Sudoku and more	Free	2-9	None
WatchKnowLearn	All	Free	2-17	None
