Season	Series	Team	Races	Wins	Poles	F/Lap	Podiums	Points	Position
2009	Star Mazda Championship	Andersen Racing	13	1	1	3	6	416	3rd
2010	Star Mazda Championship	Juncos Racing	13	7	9	7	12	539	1st
2011	Indy Lights	Sam Schmidt Motorsports	5	1	1	2	2	145	13th
2011	GP3 Series	Carlin Motorsport	16	0	0	0	0	10	17th
2012	GP3 Series	Lotus GP	16	1	0	0	5	106	6th
2012	Masters of Formula 3	Double R Racing	1	0	0	0	0	N/A	15th
2012–13	MRF Challenge Formula 2000	MRF Challenge	10	4	0	1	6	164	1st
2013	GP2 Series	Hilmer Motorsport	2	0	0	0	0	2	26th
2013	GP3 Series	ART Grand Prix	16	1	1	1	6	126	3rd
2013	IndyCar Series	A.J. Foyt Enterprises	1	0	0	0	0	11	34th
2013	Indy Lights	Team Moore Racing	1	0	0	0	1	35	13th
