Yacht	Nation	Owner	Skipper	Launch year
AFR Midnight Rambler	(NSW)	Ed Psaltis	Ed Psaltis	2002
Alacrity	(QLD)	Matthew Percy	Matthew Percy	2004
Another Challenge	(VIC)	Chris Lewin	Chris Lewin	2000
Another Fiasco	(QLD)	Damian Suckling	Damian Suckling	1994
Aurora	(NSW)	Jim Holley	Jim Holley	1983
Balance	(NSW)	Paul Clitheroe	Paul Clitheroe	2006
Bear Necessity	(NSW)	Andrew & Pauline Dally	Andrew Dally	2007
Berrimilla	(NSW)	Alex Whitworth	Alex Whitworth	1977
Capriccio of Rhu		Michele Colenso	Andrew Poole	1987
Challenge	(VIC)	Lou Abrahams	Lou Abrahams	2004
Chutzpah	(VIC)	Bruce Taylor	Bruce Taylor	2007
City Index Leopard		Mike Slade	Mike Slade	2007
Cougar II	(VIC)	Alan Whiteley	Alan Whiteley	2005
Decosolmarine Sailplane		Decosol Marine	John Danby/Robert Bottomley	1999
Dehler Magic	(QLD)	Greg Tobin/Charlie Preen	Greg Tobin/Charlie Preen	2000
DHL - The Daily Telegraph	(NSW)	Kookaburra Challenge P/L	Mitch Booth	1997
Eleni	(NSW)	Tony Levett	Tony Levett	2003
Endorfin	(NSW)	Peter Mooney	Peter Mooney	2006
First Light	(NSW)	Nicolas Ewald & Susan Rice	Nicolas Ewald	1981
Flying Fish - Arctos	(NSW)	Flying Fish Properties	Andy Fairclough/James Dobie	2001
George Gregan Foundation	(NSW)	Peter Goldsworthy	David Witt	2001
Georgia	(VIC)	John Williams/Graeme Ainley	John Williams	2000
Getaway Sailing 2	(VIC)	Peter Tarimo	Jay Pettifer	2000
Global Yacht Racing - Kioni	(NSW)	Kioni Sailing Services P/L	Richard Falk	2001
Goldfinger	(VIC)	Peter Blake & Kate Mitchell	Peter Blake	2002
Helsal IV	(TAS)	Tony Fisher	Rob Fisher	1986
Huckleberry	(WA)	Steve Humphries	Steve Humphries	1982
Hugo Boss II		Alex Thomson Racing	Ross Daniel	2001
Iataia		Marcos Rodriguez	Marc Rosenfeld	2004
Ichi Ban	(NSW)	Matt Allen	Matt Allen	2005
IMAREX	(NSW)	Marc & Louis Ryckmans	Ola Strand Andersen	2000
Impeccable	(NSW)	John Walker	John Walker	1980
Inner Circle	(NSW)	Ken Robinson/Darren Cooney	Ken Robinson	1987
Jazz		Chris Bull	Chris Bull	2003
Knee Deep	(WA)	Philip Childs/Frank Van Ruth	Philip Childs	1999
Krakatoa II	(NSW)	Rod Skellet	Rod Skellet	2006
Limit	(WA)	Alan Brierty	Roger Hickman	2002
Living Doll	(VIC)	Michael Hiatt	Michael Hiatt	2005
Matangi	(TAS)	David Stephenson	David Stephenson	1989
Morna	(NSW)	Greg Zyner	Greg Zyner	1995
Mr Beaks Ribs	(NSW)	David Beak	David Beak	2004
Mr Kite	(NSW)	Andrew Buckland/Andrew Hunn	Andrew Buckland/Andrew Hunn	2005
Namadgi	(ACT)	Canberra Ocean Racing Club	Rick Scott-Murphy	2003
Noonmark VI		Sir Geoffrey Mulcahy	Mike Gilburt	1998
Palandri Wines Minds Eye	(WA)	Brad Skeggs	Brad Skeggs	2006
Papillon	(NSW)	Phil Molony	Phil Molony	2005
Patrice Six	(NSW)	Adrian Dunphy	Adrian Dunphy/ Tony Kirby	
Phillip's Foote Witchdoctor	(NSW)	The Rum Consortium	Maurie Cameron	1979
Pirelli	(NSW)	Martin James	Les Goodridge	1989
Pisces	(TAS)	David Taylor	David Taylor	1998
Pretty Fly II	(NSW)	Colin Woods	Colin Woods	2003
Pretty Woman	(NSW)	R. Hudson/M. Lockley/R. Murphy	Richard Hudson	1996
