| Rank | Athlete                 | Nationality    | Time    |
|      | Moses Tanui             | Kenya          | 1:01:45 |
|      | Paul Yego               | Kenya          | 1:01:46 |
|      | Charles Tangus          | Kenya          | 1:01:50 |
| 4    | Antonio Serrano         | Spain          | 1:01:56 |
| 5    | Josiah Thugwane         | South Africa   | 1:02:28 |
| 6    | Delmir dos Santos       | Brazil         | 1:02:32 |
| 7    | Herder Vázquez          | Colombia       | 1:02:32 |
| 8    | Nobuyuki Sato           | Japan          | 1:02:36 |
| 9    | Yoshifumi Miyamoto      | Japan          | 1:02:38 |
| 10   | Joaquim Pinheiro        | Portugal       | 1:02:40 |
| 11   | Bartolomé Serrano       | Spain          | 1:02:41 |
| 12   | Vincenzo Modica         | Italy          | 1:02:48 |
| 13   | Danilo Goffi            | Italy          | 1:02:49 |
| 14   | Oleg Strizhakov         | Russia         | 1:02:54 |
| 15   | Giacomo Leone           | Italy          | 1:02:54 |
| 16   | Godfrey Muriuki         | Kenya          | 1:02:59 |
| 17   | Pasi Mattila            | Finland        | 1:03:01 |
| 18   | Muhammed Nazipov        | Russia         | 1:03:02 |
| 19   | Pablo Sierra Hermoso    | Spain          | 1:03:14 |
| 20   | Philippe Rémond         | France         | 1:03:16 |
| 21   | Rainer Wachenbrunner    | Germany        | 1:03:18 |
| 22   | Fabián Roncero          | Spain          | 1:03:21 |
| 23   | Meck Mothuli            | South Africa   | 1:03:25 |
| 24   | André Ramos             | Brazil         | 1:03:26 |
| 25   | Masatoshi Ibata         | Japan          | 1:03:30 |
| 26   | Vanderlei de Lima       | Brazil         | 1:03:36 |
| 27   | Abdi Djama              | France         | 1:03:45 |
| 28   | Peter Weilenmann        | United States  | 1:03:47 |
| 29   | Dagne Debela            | Ethiopia       | 1:03:48 |
| 30   | Luca Barzaghi           | Italy          | 1:03:48 |
| 31   | António Rodrigues       | Portugal       | 1:03:56 |
| 32   | Focus Willbroad         | Tanzania       | 1:03:57 |
| 33   | Bob Kempainen           | United States  | 1:03:58 |
| 34   | Klaus-Peter Hansen      | Denmark        | 1:04:00 |
| 35   | Andrea Arlati           | Italy          | 1:04:09 |
| 36   | Steffen Dittmann        | Germany        | 1:04:11 |
| 37   | Takeo Nakahara          | Japan          | 1:04:11 |
| 38   | Joseph LeMay            | United States  | 1:04:11 |
| 39   | Juan Antonio Crespo     | Spain          | 1:04:12 |
| 40   | Lemma Bonsa             | Ethiopia       | 1:04:14 |
| 41   | Carsten Jørgensen       | Denmark        | 1:04:21 |
| 42   | Valeriy Fedotov         | Russia         | 1:04:24 |
| 43   | Sid-Ali Sakhri          | Algeria        | 1:04:26 |
| 44   | Martin McLoughlin       | Great Britain  | 1:04:27 |
| 45   | Santtu Mäkinen          | Finland        | 1:04:28 |
| 46   | Daniel Held             | United States  | 1:04:30 |
| 47   | Kidane Gebrmichael      | Ethiopia       | 1:04:35 |
| 48   | Daniel Böltz            | Switzerland    | 1:04:38 |
| 49   | Bertrand Frechard       | France         | 1:04:39 |
| 50   | Aleksey Korobov         | Russia         | 1:04:47 |
| 51   | David Taylor            | Great Britain  | 1:04:49 |
| 52   | Viktor Chumakov         | Belarus        | 1:04:50 |
