#	Title	Producer(s)	Performer (s)	Time
1	"I See Dead People"	PHD	Grand Puba, Lord Jamar, Rell	4:26
2	"Hunny"	Grant Parks	Grand Puba	4:04
3	"It Is What It Is"	PHD	Grand Puba, Tiffani Davis	5:03
4	"How Long?"	Elements	Grand Puba	3:22
5	"Good To Go"	Q-Tip	Grand Puba, Q-Tip	3:53
6	"Same Old Drama"	Large Professor	Grand Puba, Large Professor	1:29
7	"Get That Money"	PHD	Grand Puba	3:29
8	"This Joint Right Here"	Grand Puba	Grand Puba, Kid Capri	3:17
9	"Go Hard"	Grand Puba	Grand Puba, Talee	3:35
10	"Reality Check"	PHD	Grand Puba, Sarah Martinez	3:09
11	"Cold Cold World"	Grand Puba	Grand Puba, Khadija Mohamed	3:31
12	"Smile"	Big Throwback	Grand Puba, Big Phill	1:55
13	"The Joint Right Here (Remix)"	Grand Puba	Grand Puba, Kid Capri, Lord Jamar, Sadat X	3:23
