#	Name	Height	Weight (lbs.)	Position	Class	Hometown	Previous Team(s)
1	Mychal Ladd	6'5"	190	G	So.	Seattle, WA, U.S.	Rainier Beach HS
2	Jonathan Wills	6'6"	180	G	Jr.	Carson, CA, U.S.	Mayfair HS\nNew Mexico
3	Taylor Kelly	6'2"	220	G	Fr.	Bakersfield, CA, U.S.	Centennial HS
11	Jerry Brown, Jr.	6'7"	195	G\nF	Fr.	Richmond, CA, U.S.	Sacred Heart
12	Steven Shepp	6'2"	170	G	So.	Woodbridge, Va, U.S.	C.D. Hylton HS\nAllegany College of Maryland
15	Nedeljko Golubovic	6'8"	245	F	Jr.	Pljevlja, Serbia, Serbia	Findlay Prep (Las Vegas, NV)
20	Garrett Johnson	6'5"	190	G\nF	Fr.	Pomona, CA, U.S.	Diamond Ranch HS
22	Greg Smith	6'10"	250	C	Fr.	Fresno, CA, U.S.	Westwind Academy
24	Paul George	6'8"	210	G\nF	So.	Palmdale, CA, U.S.	Pete Knight HS
25	Justin Johnson	6'6"	205	F	Fr.	Phoenix, AZ, U.S.	Brophy College Prep
30	Sylvester Seay	6'10"	235	F	Sr.	San Bernardino, CA, U.S.	Winchendon School\nArizona State
32	Brandon Sperling	6'4"	180	G	So.	Fresno, CA, U.S.	Buchanan HS
42	Brandon Webster	6'10"	275	C	Jr.	Bryan, TX, U.S.	Bryan HS
