"Name","Club","Date of departure","Replacement","Date of appointment"
"Jadet Meelarp","Chonburi","January 2009","Kiatisuk Senamuang","January 2009"
"Kiatisuk Senamuang","Chula United","January 2009","Carlos Ferreira","January 2009"
"Prajuk Viengsong","TTM Samut Sakhon","January 2009","Attaphol Puspakom","January 2009"
"Attaphol Puspakom","TTM Samut Sakhon","April 2009","Kij Meesrisuk","April 2009"
"Surasak Tansurat","Muangthong United","April 2009","Attaphol Puspakom","April 2009"
"Prapol Pongpanich","PEA","May 2009","Thongsuk Sampahungsith","May 2009"
"Hans R. Emser","Bangkok Glass","June 2009","Surachai Jaturapattarapong","June 2009"
"Pansak Ketwattha","Pattaya United","June 2009","Wisoon Wichaya","June 2009"
"Christophe Larrouilh","BEC Tero Sasana","June 2009","Tawan Sripan","June 2009"
"Wisoon Wichaya","Pattaya United","June 2009","Jadet Meelarp","June 2009"
"Carlos Ferreira","Chula United","August 2009","Pichai Pituwong","August 2009"
"Kij Meesrisuk","TTM Samut Sakhon","August 2009","Prajuk Viengsong","August 2009"
"Chatchai Paholpat","Nakhon Pathom","September 2009","Piyapong Pue-on","September 2009"
