| Typ                   | Construction Time | Cylinders | Capacity | Power                   | Top speed                           |
| Vis-à-Vis             | 1900–1903         | 1         | 400 cc   | 2,6 kW (3,5 PS)         | 30 km/h (19 mph)                    |
| 45 PS (33 kW; 44 hp)  | 1900–1903         | 1         | 510 cc   | 3,3 kW (4,5 PS)         | 35 km/h (22 mph)                    |
| 8 PS (6 kW; 8 hp)     | 1901–1903         | 1         | 865 cc   | 5,9 kW (8 PS)           | 40 km/h (25 mph)                    |
| 24/28 PS              | 1904–1905         | 4 inline  | 4,016 cc | 20,6 kW (28 PS)         | 65 km/h (40 mph)                    |
| 8/12 (8/14) PS        | 1904–1906         | 2 inline  | 2,008 cc | 8,8–10,3 kW (12–14 PS)  | 50 km/h (31 mph)                    |
| 4/8 PS                | 1906–1907         | 2 V       | 1,032 cc | 5,9 kW (8 PS)           | 55 km/h (34 mph)                    |
| 5/9 PS                | 1907–1909         | 2 inline  | 1,134 cc | 6,6 kW (9 PS)           | 60 km/h (37 mph)                    |
| 8/15 PS               | 1907–1910         | 4 inline  | 2,011 cc | 11 kW (15 PS)           | 55 km/h (34 mph)                    |
| 11/18 PS              | 1907–1910         | 4 inline  | 2,799 cc | 13,2 kW (18 PS)         | 55 km/h (34 mph)                    |
| 23/50 PS              | 1909–1912         | 4 inline  | 5,800 cc | 42,6 kW (58 PS)         |                                     |
| 19/45 PS              | 1909–1912         | 4 inline  | 4,840 cc | 35 kW (48 PS)           |                                     |
| 13/30 PS              | 1909–1912         | 4 inline  | 3,180 cc | 25,7 kW (35 PS)         |                                     |
| 10/28 PS              | 1909–1912         | 4 inline  | 2,612 cc | 22 kW (30 PS)           |                                     |
| K 7/15 PS             | 1910–1913         | 4 inline  | 1,768 cc | 11 kW (15 PS)           | 60 km/h (37 mph)                    |
| 30/70 PS              | 1911–1914         | 4 inline  | 7,853 cc | 51 kW (70 PS)           | 115 km/h (71 mph)                   |
| 35/80 PS              | 1911–1914         | 4 inline  | 9,081 cc | 62,5 kW (85 PS)         |                                     |
| K 5/13 PS             | 1911–1920         | 4 inline  | 1,292 cc | 9,6–10,3 kW (13–14 PS)  | 55 km/h (34 mph)                    |
| 20/50 PS              | 1912–1914         | 4 inline  | 5,229 cc | 40 kW (55 PS)           | 105 km/h (65 mph)                   |
| 15/40 PS              | 1913–1914         | 4 inline  | 3,866 cc | 33 kW (45 PS)           | 90 km/h (56 mph)                    |
| 9/24 PS               | 1913–1914         | 4 inline  | 2,313 cc | 17,6 kW (24 PS)         | 70 km/h (43 mph)                    |
| 25/55 PS              | 1913–1914         | 4 inline  | 6,457 cc | 44 kW (60 PS)           |                                     |
| KL 6/16 PS            | 1913–1920         | 4 inline  | 1,551 cc | 11,8 kW (16 PS)         | 60 km/h (37 mph)                    |
