Date	Opponent	Site	Result
September 24	Millsaps*	Denny Field • Tuscaloosa, AL	W 54–0
October 2	at Vanderbilt	Dudley Field • Nashville, TN	W 19–7
October 9	at Mississippi A&M	Meridian Fairgrounds • Meridian, MS (Rivalry)	W 26–7
October 16	at Georgia Tech	Grant Field • Atlanta, GA	W 21–0
October 23	Sewanee	Rickwood Field • Birmingham, AL	W 2–0
October 30	LSU	Denny Field • Tuscaloosa, AL (Rivalry)	W 24–0
November 6	Kentucky	Rickwood Field • Birmingham, AL	W 14–0
November 13	Florida	Cramton Bowl • Montgomery, AL	W 49–0
November 25	Georgia	Rickwood Field • Birmingham, AL	W 33–6
January 1, 1927	vs. Stanford*	Rose Bowl • Pasadena, CA (Rose Bowl)	T 7–7
