| National park           | Region                                 | Land area (km²) | Established | Visitation (2009) | Coordinates                                     |
| Archipelago             | Finland Proper                         | 500             | 1982        | 53,500            | 59°54′53″N 21°52′39″E﻿ / ﻿59.91472°N 21.87750°E |
| Bothnian Sea            |                                        |                 | 2011        |                   |                                                 |
| Eastern Gulf of Finland | Kymenlaakso                            | 6.7             | 1982        | 19,000            | 60°17′5″N 27°16′26″E﻿ / ﻿60.28472°N 27.27389°E  |
| Ekenäs Archipelago      | Uusimaa                                | 52              | 1989        | 44,500            | 59°49′22″N 23°27′15″E﻿ / ﻿59.82278°N 23.45417°E |
| Helvetinjärvi           | Pirkanmaa                              | 49.8            | 1982        | 33,000            | 62°2′N 23°51′E﻿ / ﻿62.033°N 23.850°E            |
| Hiidenportti            | Kainuu                                 | 45              | 1982        | 12,000            | 63°52′22″N 29°3′31″E﻿ / ﻿63.87278°N 29.05861°E  |
| Isojärvi                | Central Finland                        | 19              | 1982        | 10,500            | 61°41′54″N 25°0′39″E﻿ / ﻿61.69833°N 25.01083°E  |
| Kauhaneva-Pohjankangas  | Southern Ostrobothnia / Satakunta      | 57              | 1982        | 4,500             | 62°10′45″N 22°24′23″E﻿ / ﻿62.17917°N 22.40639°E |
| Koli                    | North Karelia                          | 30              | 1991        | 127,500           | 63°3′27″N 29°53′14″E﻿ / ﻿63.05750°N 29.88722°E  |
| Kolovesi                | Southern Savonia                       | 23              | 1990        | 7,500             | 62°15′27″N 28°49′0″E﻿ / ﻿62.25750°N 28.81667°E  |
| Kurjenrahka             | Finland Proper                         | 29              | 1998        | 28,500            | 60°43′14″N 22°23′1″E﻿ / ﻿60.72056°N 22.38361°E  |
| Lauhanvuori             | Southern Ostrobothnia                  | 53              | 1982        | 10,000            | 62°09′7″N 22°10′30″E﻿ / ﻿62.15194°N 22.17500°E  |
| Leivonmäki              | Central Finland                        | 29              | 2003        | 12,500            | 61°56′N 26°2′E﻿ / ﻿61.933°N 26.033°E            |
