Date	Time	Opponent	Site	TV	Result	Attendance	Record
11/03/2012*	7:30 PM	Central Missouri	Dunn Center • Clarksville, TN		W 75–66		
11/09/2012*	7:00 PM	Samford	Dunn Center • Clarksville, TN		W 75–64	2,315	1–0
11/13/2012*	7:00 PM	at WKU	E. A. Diddle Arena • Bowling Green, KY\n(Cancún Challenge)		L 54–74	4,160	1–1
11/17/2012*	1:00 PM	at DePaul	Allstate Arena • Rosemont, IL\n(Cancún Challenge)		L 67–98	7,398	1–2
11/20/2012*	12:30 PM	vs. Western Carolina	Moon Palace Resort • Cancún, Mexico\n(Cancún Challenge)		W 72–71	902	2–2
11/21/2012*	3:00 PM	vs. Gardner–Webb	Moon Palace Resort • Cancún, Mexico\n(Cancún Challenge)		L 62–72	302	2–3
11/28/2012*	7:00 PM	Berea	Dunn Center • Clarksville, TN		W 108–53	2,023	3–3
12/01/2012*	7:30 PM	Fairfield	Dunn Center • Clarksville, TN		L 55–74	2,208	3–4
12/05/2012*	7:00 PM	Oakland City	Dunn Center • Clarksville, TN		W 88–63	2,012	4–4
12/08/2012*	12:00 PM	at Memphis	FedExForum • Memphis, TN		L 65–83	15,249	4–5
12/16/2012*	2:05 PM	at Arkasnas State	Convocation Center • Jonesboro, AR		L 57–69	2,652	4–6
12/18/2012*	7:00 PM	Lipscomb	Dunn Center • Clarksville, TN		L 84–87	2,498	4–7
12/22/2012*	2:00 PM	at Illinois State	Redbird Arena • Normal, IL		L 57–83	5,119	4–8
12/28/2012*	3:30 PM	vs. Utah Valley	McKenzie Arena • Chattanooga, TN\n(Dr. Pepper Classic)		L 77–84	2,568	4–9
12/29/2012*	3:30 PM	vs. High Point	McKenzie Arena • Chattanooga, TN\n(Dr. Pepper Classic)		L 74–76	2,534	4–10
01/03/2013	7:00 PM	at Southeast Missouri State	Show Me Center • Cape Girardeau, MO		L 84–86	1,845	4–11 (0–1)
01/05/2013	6:20 PM	at Tennessee–Martin	Skyhawk Arena • Martin, TN		L 74–76 OT	2,578	4–12 (0–2)
01/09/2013	7:00 PM	Morehead State	Dunn Center • Clarksville, TN		W 84–81 OT	2,004	5–12 (1–2)
01/12/2013	7:30 PM	Murray State	Dunn Center • Clarksville, TN	ESPN3	L 68–71	4,718	5–13 (1–3)
01/17/2013	7:00 PM	SIU Edwardsville	Dunn Center • Clarksville, TN		L 53–66	2,014	5–14 (1–4)
01/19/2013	7:30 PM	Eastern Illinois	Dunn Center • Clarksville, TN		L 67–77	2,517	5–15 (1–5)
01/24/2013	7:00 PM	at Jacksonville State	Pete Mathews Coliseum • Jacksonville, AL		L 74–81	1,883	5–16 (1–6)
01/26/2013	7:30 PM	at Tennessee Tech	Eblen Center • Cookeville, TN		L 52–70	2,459	5–17 (1–7)
02/02/2013	12:00 PM	at Murray State	CFSB Center • Murray, KY	ESPNU	L 68–75 OT	6,111	5–18 (1–8)
02/07/2013	7:00 PM	Tennessee State	Dunn Center • Clarksville, TN		L 82–88 OT	2,186	5–19 (1–9)
02/09/2013	7:30 PM	Belmont	Dunn Center • Clarksville, TN		L 65–78	4,097	5–20 (1–10)
02/14/2013	7:00 PM	at Eastern Illinois	Lantz Arena • Charleston, IL		W 71–64	444	6–20 (2–10)
02/16/2013	7:00 PM	at SIU Edwardsville	Vadalabene Center • Edwardsville, IL		W 83–71	2,436	7–20 (3–10)
02/20/2013	6:00 PM	at Eastern Kentucky	Alumni Coliseum • Richmond, KY		L 53–91	3,400	7–21 (3–11)
02/23/2013*	3:00 PM	at Liberty	Vines Center • Lynchburg, VA\n(BracketBusters)		L 73–79 OT	2,678	7–22
02/28/2013	7:00 PM	Southeast Missouri State	Dunn Center • Clarksville, TN		L 81–108	1,920	7–23 (3–12)
03/02/2013	7:30 PM	Tennessee–Martin	Dunn Center • Clarksville, TN		W 91–58	2,408	8–23 (4–12)
