"name","railway","series","maker","dates","drive","wheel arrangement","weight","power","notes"
"Re 465","BLS, Switzerland","Re 465 001-465 0018","SLM, ABB","1994-97","electric","Bo-Bo","84 t","9,520 horsepower (7,099 kW)
[Tractive force: 300 kN (30.6 tons)","most powerful locomotive with only four axles, similar locomotives with slightly different technical data are in operation with SBB (Re 460; 119 pc/ NSB (El 18; 22 pc)/ VR (Sr2; 46 pc)/ KCRC (Hong Kong; 2 pc)"
"Re 6/6","SBB, Switzerland","11601-11689","SLM, MFO/BBC/Sécheron","1972, 1975–80","electric","Bo-Bo-Bo","120 t","10,908 horsepower (8,134 kW) Tractive force: 398 kN (41 tons)","in operation (October 2012), revised classification Re 620, most powerful single-frame locomotive till China Railways HXD1B appeared"
"Re 4/4","BLS, Switzerland","Re 425 161-Re 425 195)","SLM / BBC","1964-83","electric","(Bo)(Bo)","80 t","6,772 horsepower (5,050 kW) Tractive force 314 kN (32 tons)","in operation (October 2012)"
"Ae 8/8","BLS, Switzerland","271-275","SLM / BBC","1959-66","electric","(Bo)(Bo)+(Bo)(Bo)","160 t","8,806 horsepower (6,567 kW), tractive force 471 kN (48 tons)","1 preserved in working order"
"AD43C","Iranian Railways(RAI)","2001-2100","ALSTOM","2001","Diesel Electric","Co'Co'","120 t","4,300 horsepower (3,207 kW)","about 50 locomotives are stopped because of failures in the RK215 diesel engine"
"Ae 6/6","SBB, Switzerland","11401-11520","SLM, MFO/ BBC","1952; 1955–66","electric","Co-Co","120 t","6,000 horsepower (4,474 kW) [Tractive force: 392 kN (40 tons)","still in operation (October 2012)"
"Ae 6/8","BLS, Switzerland","201-208","SLM / Sécheron","1939","electric","(1'Co)(Co1')","140 t","6,000 horsepower (4,474 kW), tractive force 353 kN (36 tons)","2 remain in working order as heritage locos"
"Ae 8/14","SBB, Switzerland","11852","SLM, MFO/ BBC","1939","electric","(1'A)A1'A(A1')+(1'A)A1'A(A1')","236 t","11,000 horsepower (8,203 kW), Tractive force: 490 kN (50 tons)","Exhibit at Swiss Transport Museum"
"PRR GG1","Pennsylvania Rail Road (PRR), Penn Central, Conrail, Amtrak & NJ Transit","4800-4938, 900-929","Altoona Works, General Electric","1934–43","Electric","2-C+C-2 (4-6-6-4)","208.9 to 216.4","4,629 horsepower (3,452 kW), Tractive Effort: 65,500 lbf","Most scrapped; the prototype and 15 production locomotives preserved in museums"
"Class 461","Železnice Srbije, Serbia","ŽS461-0/1, ŽS461-2","Electroputere Craiova, Romania","1965–91","Electric","Co'Co'","120 t","7,638 horsepower (5,696 kW)","Operational in Romania, Serbia, Montenegro, Bulgaria, Hungary & Macedonia."
