"Name","League","FA Cup","League Cup","JP Trophy","Total"
"Scot Bennett","5","0","0","0","5"
"Danny Coles","3","0","0","0","3"
"Liam Sercombe","1","0","0","0","1"
"Alan Gow","4","0","0","0","4"
"John O'Flynn","11","0","1","0","12"
"Guillem Bauza","2","0","0","0","2"
"Jimmy Keohane","3","0","0","0","3"
"Pat Baldwin","1","0","0","0","1"
"Jamie Cureton","20","0","0","0","20"
"Arron Davies","3","0","0","0","3"
"Jake Gosling","1","0","0","0","1"
"OWN GOALS","0","0","0","0","0"
"Total","0","0","0","0","0"
