Position	Name	Height	Weight	Birthdate	Birthplace	2009–10 team
G	Brianne McLaughlin	174 cm (5 ft 9 in)	59 kg (130 lb)	June 20, 1987	Sheffield, Ohio	Robert Morris Colonials
G	Molly Schaus	174 cm (5 ft 9 in)	67 kg (148 lb)	July 29, 1988	Natick, Massachusetts	Boston Eagles
G	Jessie Vetter	174 cm (5 ft 9 in)	77 kg (170 lb)	December 19, 1985	Cottage Grove, Wisconsin	Wisconsin Badgers
D	Kacey Bellamy	174 cm (5 ft 9 in)	65 kg (143 lb)	April 22, 1987	Westfield, Massachusetts	New Hampshire Wildcats
D	Caitlin Cahow	163 cm (5 ft 4 in)	71 kg (157 lb)	May 20, 1985	New Haven, Connecticut	Harvard Crimson
D	Lisa Chesson	169 cm (5 ft 7 in)	69 kg (152 lb)	August 18, 1986	Plainfield, Illinois	Ohio State Buckeyes
D	Molly Engstrom	175 cm (5 ft 9 in)	81 kg (179 lb)	March 1, 1983	Siren, Wisconsin	Wisconsin Badgers
D	Angela Ruggiero – A	175 cm (5 ft 9 in)	87 kg (192 lb)	January 3, 1980	Los Angeles, California	Harvard Crimson
D	Kerry Weiland	163 cm (5 ft 4 in)	64 kg (141 lb)	October 18, 1980	Palmer, Alaska	Wisconsin Badgers
F	Julie Chu – A	174 cm (5 ft 9 in)	67 kg (148 lb)	March 13, 1982	Bridgeport, Connecticut	Harvard Crimson
F	Natalie Darwitz – C	160 cm (5 ft 3 in)	62 kg (137 lb)	October 13, 1983	Eagan, Minnesota	Minnesota Golden Gophers
F	Meghan Duggan	175 cm (5 ft 9 in)	74 kg (163 lb)	September 3, 1987	Danvers, Massachusetts	Wisconsin Badgers
F	Hilary Knight	178 cm (5 ft 10 in)	78 kg (172 lb)	July 12, 1989	Hanover, New Hampshire	Wisconsin Badgers
F	Jocelyne Lamoureux	168 cm (5 ft 6 in)	70 kg (150 lb)	July 3, 1989	Grand Forks, North Dakota	North Dakota Fighting Sioux
F	Monique Lamoureux	168 cm (5 ft 6 in)	71 kg (157 lb)	July 3, 1989	Grand Forks, North Dakota	North Dakota Fighting Sioux
F	Erika Lawler	152 cm (5 ft 0 in)	59 kg (130 lb)	February 5, 1987	Fitchburg, Massachusetts	Wisconsin Badgers
F	Gisele Marvin	174 cm (5 ft 9 in)	75 kg (165 lb)	March 7, 1987	Warroad, Minnesota	Minnesota Golden Gophers
F	Jenny Potter – A	163 cm (5 ft 4 in)	66 kg (146 lb)	January 12, 1979	Edina, Minnesota	Minnesota Golden Gophers
F	Kelli Stack	165 cm (5 ft 5 in)	59 kg (130 lb)	January 13, 1988	Brooklyn Heights, Ohio	Boston Eagles
F	Karen Thatcher	174 cm (5 ft 9 in)	74 kg (163 lb)	February 29, 1984	Blaine, Washington	Providence Friars
F	Jinelle Zaugg-Siergiej	183 cm (6 ft 0 in)	82 kg (181 lb)	March 27, 1986	Eagle River, Wisconsin	Wisconsin Badgers
