"Year","Team","Games","Combined Tackles","Tackles","Assisted Tackles","Sacks","Forced Fumbles","Fumble Recoveries","Fumble Return Yards","Interceptions","Interception Return Yards","Yards per Interception Return","Longest Interception Return","Interceptions Returned for Touchdown","Passes Defended"
"2001","CIN","15","53","41","12","8.5","0","0","0","2","28","14","21","0","5"
"2002","CIN","16","59","47","12","6.5","2","0","0","0","0","0","0","0","2"
"2003","CIN","16","60","41","19","5.0","1","0","0","0","0","0","0","0","3"
"2004","CIN","16","70","41","29","8.0","2","2","0","0","0","0","0","0","2"
"2005","CIN","16","65","45","20","6.0","1","1","0","0","0","0","0","0","2"
"2006","CIN","16","81","50","31","7.5","1","2","0","0","0","0","0","0","3"
"2007","CIN","16","78","49","29","2.0","0","0","0","0","0","0","0","0","3"
"2008","SF","16","73","50","23","7.0","1","0","0","1","0","0","0","0","3"
"2009","SF","16","55","40","15","6.0","2","2","0","0","0","0","0","0","1"
"2010","SF","16","70","57","13","8.5","1","0","0","0","0","0","0","0","1"
"2011","SF","16","58","45","13","7.5","3","1","0","0","0","0","0","0","2"
"2012","SF","14","66","47","19","3.0","0","1","0","0","0","0","0","0","2"
"2013","SF","16","49","32","17","6.5","1","0","0","0","0","0","0","0","0"
"Career","","205","837","585","252","82.0","15","9","0","3","28","9","21","0","29"
