Date	Opponent	Site	Result	Attendance	Record
Thu., Dec. 5, 1940	at Loyola Maryland	Alumni Gymnasium • Baltimore, MD	L 32–36	N/A	0-1
Tue., Dec. 10, 1940	Western Maryland	Riverside Stadium • Washington, DC	W 41–29	N/A	1-1
Thu., Dec. 12, 1940	at American	Clendenen Gymnasium • Washington, DC	W 41–35	N/A	2-1
Mon., Dec. 16, 1940	George Washington	Riverside Stadium • Washington, DC	W 50–42	N/A	3-1
Wed., Dec. 18, 1940	at Loyola Chicago	Chicago Stadium • Chicago, IL	W 38–35	N/A	4-1
Wed, Jan. 8, 1941	at Canisius	Buffalo Memorial Auditorium • Buffalo, NY	W 53–35	N/A	5-1
Fri., Jan. 10, 1941	at Temple	Philadelphia Convention Hall • Philadelphia, PA	W 46–45	N/A	6-1
Wed., Jan 15, 1941	at Army	Hayes Gymnasium • West Point, NY	W 40–28	N/A	7-1
Thu., Jan. 16, 1941	New York University	Riverside Stadium • Washington, DC	W 36–27	N/A	8-1
Fri., Jan. 17, 1941	at Maryland	Ritchie Coliseum • College Park, MD	W 51–34	N/A	9-1
Wed., Jan. 22, 1941	at Navy	Dahlgren Hall • Annapolis, MD	W 38–18	N/A	10-1
Wed, Jan. 29, 1941	Penn State	Riverside Stadium • Washington, DC	W 28–24 OT	N/A	11-1
Wed., Feb. 5, 1941	at Syracuse	Archbold Gymnasium • Syracuse, NY	L 43–49	N/A	11-2
Thu., Feb. 6, 1941	at Colgate	Huntington Gymnasium • Hamilton, NY	W 39–36	N/A	12-2
Fri., Feb. 7, 1941	at Yale	Payne Whitney Gymnasium • New Haven, CT	W 41–39	N/A	13-2
Mon, Feb. 10, 1941	Temple	Riverside Stadium • Washington, DC	W 57–49	7,000	14-2
Wed., Feb. 19, 1941	at Penn State	Recreation Hall • State College, PA	L 38–45	N/A	14-3
Thu., Feb. 20, 1941	at Scranton	Watres Armory • Scranton, PA	W 51–40	N/A	15-3
Fri., Feb. 28, 1941	at Fordham	Madison Square Garden • New York, NY	L 42–52	N/A	15-4
Thu., Mar. 6, 1941	at George Washington	Riverside Stadium • Washington, DC	W 41–34	N/A	16-4
