"Season","Division","W–L","Finish","Home","Road","GF","GA","Coach","Playoffs","Avg Attendance"
"2006","Western","1–15","6th","0–8","1–7","150","202","Paul Day","Missed playoffs","10,367"
"2007","Western","6–10","5th","4–4","2–6","160","189","Paul Day","Missed playoffs","10,815"
"2008","Western","4–12","5th","3–5","1–7","141","197","Paul Day (0–5)
Bob Hamley (4–7)","Missed playoffs","8,820"
"2009","Western","5–11","6th","4–4","1–7","159","200","Bob Hamley","Missed playoffs","8,347"
"2010","Western","10–6","3rd","5–3","5–3","186","201","Derek Keenan","Lost in Western Final","7,558"
"2011","Western","5–11","5th","4–4","1–7","175","204","Derek Keenan","Missed Playoffs","7,151"
"2012","Western","6–10","4th","4–4","2–6","167","175","Derek Keenan","Lost in Final","7,050"
"2013","Western","9–7","3rd","2–6","7–1","203","170","Derek Keenan","Lost in Western Semi-final","6,714"
"Total","8 seasons","46–82","","26–38","20–44","1,341","1,538","","","8,353"
"Playoff Totals","","3–3","","0–0","3–3","73","54","","",""
