"Rank","Athlete","Nationality","2.15","2.20","2.24","2.27","Result","Notes"
"1.","Yaroslav Rybakov","Russia","o","o","o","o","2.27","q"
"1.","Andriy Sokolovskyy","Ukraine","o","o","o","o","2.27","q"
"1.","Stefan Holm","Sweden","o","o","o","o","2.27","q"
"1.","Andrey Tereshin","Russia","o","o","o","o","2.27","q"
"1.","Víctor Moya","Cuba","o","o","o","o","2.27","q, PB"
"1.","Linus Thörnblad","Sweden","o","o","o","o","2.27","q"
"7.","Giulio Ciotti","Italy","o","o","o","xxx","2.24","q"
"8.","Robert Wolski","Poland","xo","o","o","xxx","2.24","q"
"9.","Ramsay Carelse","South Africa","xo","xo","o","xxx","2.24",""
"10.","Tora Harris","United States","o","o","xo","xxx","2.24",""
"10.","Nicola Ciotti","Italy","o","o","xo","xxx","2.24",""
"10.","Wojciech Theiner","Poland","o","o","xo","xxx","2.24",""
"13.","Tomáš Janku","Czech Republic","o","o","xxo","xxx","2.24",""
"13.","Mustapha Raifak","France","o","o","xxo","xxx","2.24",""
"15.","Svatoslav Ton","Czech Republic","o","xo","xxx","","2.20",""
"16.","Adam Shunk","United States","o","xxx","","2.15","",""
"16.","Roman Fricke","Germany","o","xxx","","2.15","",""
