No	Driver	Entrant	Constructor	Chassis	Engine
2	Luigi Arcangeli	Officine Alfieri Maserati	Maserati	Maserati 26M	2.5 L8
4	Louis Chiron	Automobiles Ettore Bugatti	Bugatti	Bugatti T35B	2.3 L8
6	Clemente Biondetti	Scuderia Materassi	Talbot	Talbot 700	1.5 L8
8	Pietro Nicolotti	Private entry	Alfa Romeo	Alfa Romeo 6C 1500	1.5 L6
10	Cleto Nenzioni	Private entry	Maserati	Maserati 26B	2.1 L8
12	Luigi Fagioli	Officine Alfieri Maserati	Maserati	Maserati 26	1.7 L8
14	Fritz Caflisch	Private entry	Mercedes-Benz	Mercedes-Benz SS	7.1 L6
16	Achille Varzi	SA Alfa Romeo	Alfa Romeo	Alfa Romeo P2	2.0 L8
18	Giuseppe Campari	Scuderia Ferrari	Alfa Romeo	Alfa Romeo 6C 1750GS	1.8 L6
20	Arrigo Sartorio	Private entry	Maserati	Maserati 26	1.5 L8
22	Mario Tadini	Scuderia Ferrari	Alfa Romeo	Alfa Romeo 6C 1750GS	1.8 L6
24	Heinrich Joachim von Morgen	Private entry	Bugatti	Bugatti T35B	2.3 L8
26	Emil Frankl	Private entry	Steyr	Steyr 4.5 Liter	4.5 L6
28	Tazio Nuvolari	SA Alfa Romeo	Alfa Romeo	Alfa Romeo P2	2.0 L8
30	Guy Bouriat	Automobiles Ettore Bugatti	Bugatti	Bugatti T35B	2.3 L8
32	Cesare Renzi	Private entry	Bugatti	Bugatti T37A	1.5 L8
34	Cesare Pastore	Private entry	Maserati	Maserati 26B	2.1 L8
36	Colonna de Stigliano	Private entry	Alfa Romeo	Alfa Romeo 6C 1750	1.8 L6
?	Filippo Sartorio	Enrico or F. Sartorio	Alfa Romeo	Alfa Romeo 6C 1750	1.5 L6
?	Arrigo Nenzioni	A. or E. Nenzioni	Maserati	Maserati 26	1.5 L8
?	William Grover-Williams	Automobiles Ettore Bugatti	Bugatti	Bugatti T35B	2.3 L8
?	?	Scuderia Ferrari	Alfa Romeo	Alfa Romeo P2	2.0 L8
?	?	Scuderia Ferrari	Alfa Romeo	Alfa Romeo 6C 1500	1.5 L6
