Wrestler:	Times:	Date:	Location:	Notes:
Jonnie Stewart	1	June 6, 1996	Rochester, Minnesota	Defeated Larry Gligorovich to win the AWA Superstars of Wrestling World Heavyweight Championship.
King Kong Bundy	1	March 31, 1999	Oshkosh, Wisconsin	Later stripped of the title by owner Dale Gagne.
The Patriot\n(Danny Dominion)	1	July 29, 2000	Pine Bluff, Arkansas	Defeated Dale Gagne in an impromptu match to win the title.
Ricky Enrique	1	July 29, 2000	Pine Bluff, Arkansas	
Eric Priest	1	June 3, 2001	Hillside, Illinois	
Evan Karagias	1	March 22, 2002	Casa Grande, Arizona	
Horshu	1	October 12, 2002	Mercedes, Texas	Stripped of the title due to missing mandatory title defenses.
Evan Karagias	2	July 6, 2003	Lemoore, California	Defeated Eric Priest to win the vacated title. Karagias was fired in January 2005 by Dale Gagne for misconduct and refusal of defending the title as scheduled.
Takao Ōmori	1	February 15, 2005	Tokyo, Japan	Defeated Steve Corino in the finals of a tournament when Pro Wrestling Zero1 joins AWA Superstars of Wrestling.
Steve Corino	1	June 11, 2005	Bay City, Michigan	
Shinjiro Otani	1	January 22, 2006	Tokyo, Japan	
Takao Ōmori	2	April 1, 2006	Tokyo, Japan	
Ric Converse	1	June 14, 2006	Indianapolis, Indiana	
Steve Corino	2	January 7, 2007	Pottstown, Pennsylvania	On March 23, 2007, Corino lost the title to TNT at an AWF event; however, on March 28, the AWA Superstars of Wrestling Board of Directors returned the title to Corino when the proper paperwork for the match could not be found.
Takao Ōmori	3	March 31, 2007	Yokohama, Japan	
Masato Tanaka	1	October 26, 2007	Tokyo, Japan	
Larry Zbyszko	1*	February 5, 2008	Minneapolis, Minnesota	Title awarded.
Brian Logan†	#	April 20, 2008	Fayetteville, West Virginia	Logan defeated Zbyszko and Ricky Landell in a triple threat match. Shortly thereafter, Mountaineer Wrestling Association of West Virginia, the promotion for which Logan primarily performs, pulled out of AWA Superstars of Wrestling to form American Wrestling Affiliates with several other promotions. The title was returned to Zbyszko, and Logan's reign was never officially recognized by AWA Superstars of Wrestling.
Larry Zbyszko	1*			Title returned to Zbyszko.
Ricky Landell	1	October 11, 2008	Indianapolis, Indiana	Title becomes known as the WSL World Heavyweight Championship when the promotion is forced to rename.
Keith Walker	1	February 21, 2009	Michigan City, Indiana	
Jonnie Stewart	2	June 9, 2012	Landover, Maryland	In a day referred to as The Saturday Night Massacre, in reference to President Nixon's firing of two Whitehouse attorneys general in one night; President Dale Gagne strips and fires Keith Walker when Walker refuses to defend the title against Ricky Landell, in an event in Landover, Maryland. When Landell is awarded the title, he refuses to accept and is too promptly fired by Gagne, who than awards the title to Jonnie Stewart.
The Honky Tonk Man	1	August 18, 2012	Rockford, Illinois	The morning of the event, Jonnie Stewart's doctors declare him PUP (physically unable to perform) and WSL officials agree to let Mike Bally sub for Stewart.
