"Year","Division","League","Regular Season","Playoffs","Open Cup"
"1998","4","USISL PDSL","4th, Central","Division Finals","1st Round"
"1999","4","USL PDL","5th, Heartland","Did not qualify","Did not qualify"
"2000","4","USL PDL","4th, Rocky Mountain","Did not qualify","Did not qualify"
"2001","4","USL PDL","5th, Rocky Mountain","Did not qualify","Did not qualify"
"2002","4","USL PDL","5th, Heartland","Did not qualify","Did not qualify"
"2003","4","USL PDL","5th, Heartland","Did not qualify","Did not qualify"
"2004","4","USL PDL","6th, Heartland","Did not qualify","Did not qualify"
"2005","4","USL PDL","3rd, Heartland","Did not qualify","Did not qualify"
"2006","4","USL PDL","3rd, Heartland","Did not qualify","Did not qualify"
"2007","4","USL PDL","3rd, Heartland","Did not qualify","1st Round"
"2008","4","USL PDL","5th, Heartland","Did not qualify","Did not qualify"
"2009","4","USL PDL","6th, Heartland","Did not qualify","Did not qualify"
"2010","4","USL PDL","7th, Heartland","Did not qualify","Did not qualify"
"2011","4","USL PDL","4th, Heartland","Did not qualify","Did not qualify"
"2012","4","USL PDL","5th, Heartland","Did not qualify","Did not qualify"
"2013","4","USL PDL","4th, Heartland","Did not qualify","Did not qualify"
