Year	Position	Year	Position	Year	Position
1957	Did not enter	1978	Did not qualify	1998	Round 1
1959	Did not enter	1980	Did not qualify	2000	Round 1
1962	Did not enter	1982	Did not qualify	2002	Round 1
1963	Did not enter	1984	Round 1	2004	Did not qualify
1965	Did not enter	1986	Did not qualify	2006	Round 1
1968	Did not qualify	1988	Did not qualify	2008	Did not qualify
1970	Did not qualify	1990	Withdrew	2010	Withdrew due to rebel attack
1972	Round 1	1992	Did not qualify	2012	Did not qualify
1974	Withdrew	1994	Withdrew during qualifying	2013	Quarter-Final
1976	Did not qualify	1996	Did not qualify		
