Release date	Single title	UK Singles Chart\nposition	French\nCharts	German\nCharts	Irish\nCharts	Various
1976	"Sister Mary" (duet with Joe Dolan)	-	-	-	2	-
May 1976	"Who's That Lady With My Man"	-	5	-	-	-
October 1976	"Help Me"	-	17	-	-	-
1976	"Goodbye Venice Goodbye"	-	-	-	-	-
February 1977	"All We Need is Love"	-	-	-	-	-
June 1977	"Run to Me"	-	-	-	-	#22 (Netherlands), #5 (South Africa)
February 1978	"Make Love to Me"	-	-	-	-	#5 (Australia), #2 (South Africa)
August 1978	"Loving Just for Fun"	-	-	-	-	-
November 1978	"Take Me to Paradise"	-	-	-	-	-
January 1979	"If I Can't Have You"	-	-	-	-	-
August 1979	"Feels Like I'm in Love"	-	-	-	-	-
May 1980	"Feels Like I'm in Love" (re-release)	1	-	5	3	#6 (Australia), #6 (Austria)\n#2 (Belgium), #3 (Netherlands)\n#7 (South Africa)
November 1980	"Loving Just for Fun" (re-release)	21	-	20	22	-
February 1981	"Hot Love"	22	-	25	13	-
May 1981	"Love Trial"	51	-	75	-	-
August 1981	"Don't Stop Your Love"	-	-	-	-	-
January 1982	"I Need Your Love"	-	-	-	-	-
April 1982	"I Feel Love Comin' On"	-	-	-	-	-
July 1982	"Love's Got a Hold on You"	-	-	-	-	-
October 1982	"Don't Take Your Love to Hollywood"	-	-	-	-	-
September 1983	"Silent Treatment"	-	-	-	-	-
July 1984	"Break Out"	90	-	-	-	-
October 1984	"I'm On Fire"	-	-	-	-	-
September 1986	"Feels Like I'm in Love '86"	-	-	-	-	-
1988	"Stealing My Time"	-	-	-	-	#2 (Denmark)
1988	"Halfway To Paradise"	-	-	-	-	-
1998	"I'm In The Mood For Dancing"	-	-	-	-	-
February 2001	"Hot Love 2001"	-	-	-	-	-
