Player	Position	Games\nstarted	Hometown	Height	Weight	Age
Clyde E. Bastian	Halfback\nFullback	0\n1	Williamsport, PA	5-8	168	22
James Bland Catlett	Halfback	3	Brookings, SD			
William D. Cochran	Guard	8	Houghton, MI	5-8	235	
Maurice F. Dunne	End	3	Springfield, IL	6-0	164	
John Maulbetsch	Halfback	7	Ann Arbor, MI	5-8	168	
Frank Millard	Guard	3	Ann Arbor, MI	5-7	212	
Walter Neimann	Center\nEnd	3\n1	Hermansville, MI	5-11	165	21
John K. Norton	Tackle\nCenter\nGuard	3\n2\n1	Ontonagon, MI			
Fred Rehor	Guard	2	Hastings, MI	6-0	262	21
Lawrence Roehm	Quarterback	7	Detroit, MI	5-8½	168	22
Cedric C. Smith	Fullback	5	Bay City, MI	6-0	190	20
Karl S. Staatz	End	5	Tacoma, WA	5-10	168	22
Robert W. Watson	Tackle	8	Ludington, MI	5-9	174	
Richard F. "Dick" Weske	Guard\nTackle	0\n2	New London, CT	6-0	190	
James L. Whalen	Tackle\nGuard\nEnd	2\n1\n1	Savannah, NY	5-10	188	
