| #    | Title                                            | Type | Opening date       | Closing date       | Performances | Comment                                                                                                                                                                                                                                                                                                                                                                      |
| 1.   | The Phantom of the Opera                         | M    | January 26, 1988   |                    | 10,887       | Currently running at the Majestic Theatre 7 Tony Awards in 1988, including Best Musical 7 Drama Desk Awards in 1988 Broadway's longest-running show and musical                                                                                                                                                                                                              |
| 2.   | Cats                                             | M    | October 7, 1982    | September 10, 2000 | 7,485        | 7 Tony Awards in 1983, including Best Musical 3 Drama Desk Awards in 1983 Grammy Award for Best Cast Show Album in 1984                                                                                                                                                                                                                                                      |
| 3.   | Chicago                                          | M    | November 14, 1996  |                    | 7,213        | Currently running at the Ambassador Theatre Revival 6 Tony Awards in 1997, including Best Revival of a Musical 6 Drama Desk Awards in 1997, including Outstanding Revival of a Musical Grammy Award for Best Musical Show Album in 1998
Original production in 1975 (936 performances)
Broadway's longest-running revival
Longest running show to have premiered on Broadway |
| 4.   | The Lion King                                    | M    | November 13, 1997  |                    | 6,806        | Currently running at the Minskoff Theatre 6 Tony Awards in 1998, including Best Musical 8 Drama Desk Awards in 1998 Grammy Award for Best Musical Show Album in 1999                                                                                                                                                                                                         |
| 5.   | Les Misérables                                   | M    | March 12, 1987     | May 18, 2003       | 6,680        | 8 Tony Awards in 1987, including Best Musical 5 Drama Desk Awards in 1987, including Outstanding Musical Grammy Award for Best Musical Cast Show Album in 1988 Revivals in 2006 (463 performances) and 2014 (9 performances, currently running at the Imperial Theatre)                                                                                                      |
| 6.   | A Chorus Line                                    | M    | July 25, 1975      | April 28, 1990     | 6,137        | 9 Tony Awards in 1976, including Best Musical 5 Drama Desk Awards in 1976, including Outstanding Musical A Special Tony Award in 1984 for becoming Broadway's longest-running musical Pulitzer Prize for Drama in 1976
Revival in 2006 (759 performances)                                                                                                                    |
| 7.   | Oh! Calcutta!                                    | R    | September 24, 1976 | August 6, 1989     | 5,959        | Revival Original production in 1969 (1314 performances) Broadway's longest-running revue                                                                                                                                                                                                                                                                                     |
| 8.   | Beauty and the Beast                             | M    | April 18, 1994     | July 29, 2007      | 5,461        | Tony Award for Best Costume Design in 1994                                                                                                                                                                                                                                                                                                                                   |
| 9.   | Mamma Mia!                                       | M    | October 18, 2001   |                    | 5,151        | Currently running at the Broadhurst Theatre Longest-running "jukebox musical" on Broadway                                                                                                                                                                                                                                                                                    |
| 10.  | Rent                                             | M    | April 29, 1996     | September 7, 2008  | 5,123        | 4 Tony Awards in 1996, including Best Musical 6 Drama Desk Awards in 1996, including Outstanding Musical Pulitzer Prize for Drama in 1996 Grammy Award for Best Musical Show Album in 1996                                                                                                                                                                                   |
| 11.  | Wicked                                           | M    | October 30, 2003   |                    | 4,333        | Currently running at the Gershwin Theatre 3 Tony Awards in 2004 7 Drama Desk Awards in 2004, including Outstanding Musical Grammy Award for Best Musical Show Album in 2005                                                                                                                                                                                                  |
| 12.  | Miss Saigon                                      | M    | April 11, 1991     | January 28, 2001   | 4,092        | 3 Tony Awards in 1991 4 Drama Desk Awards in 1991                                                                                                                                                                                                                                                                                                                            |
| 13.  | 42nd Street                                      | M    | August 25, 1980    | January 8, 1989    | 3,486        | 2 Tony Awards in 1981, including Best Musical 2 Drama Desk Awards in 1981 Revival in 2001 (1,524 performances)                                                                                                                                                                                                                                                               |
| 14.  | Jersey Boys                                      | M    | November 6, 2005   |                    | 3,476        | Currently running at the August Wilson Theatre 4 Tony Awards in 2006, including Best Musical 2 Drama Desk Awards in 2006 Grammy Award for Best Musical Show Album in 2007                                                                                                                                                                                                    |
| 15.  | Grease                                           | M    | February 14, 1972  | April 13, 1980     | 3,388        | 2 Drama Desk Awards in 1972 Revivals in 1994 (1,505 performances) and 2007 (554 performances)                                                                                                                                                                                                                                                                                |
| 16.  | Fiddler on the Roof                              | M    | September 22, 1964 | July 2, 1972       | 3,242        | 9 Tony Awards in 1965, including Best Musical A Special Tony Award in 1972 for becoming Broadway's longest-running musical Revivals in 1976 (167 performances), 1981 (53 performances), 1990, (241 performances), and 2004 (781 performances)                                                                                                                                |
| 17.  | Life with Father                                 | P    | November 8, 1939   | July 12, 1947      | 3,224        | Broadway's longest-running straight play                                                                                                                                                                                                                                                                                                                                     |
| 18.  | Tobacco Road                                     | P    | December 4, 1933   | May 31, 1941       | 3,182        | Revivals in 1942 (34 performances), 1943 (66 performances), and 1950 (7 performances)                                                                                                                                                                                                                                                                                        |
| 19.  | Hello, Dolly!                                    | M    | January 16, 1964   | December 27, 1970  | 2,844        | 10 Tony Awards in 1964, including Best Musical A Drama Desk Award in 1970 Revivals in 1975 (42 performances), 1978 (147 performances), and 1995 (116 performances)                                                                                                                                                                                                           |
| 20.  | My Fair Lady                                     | M    | March 15, 1956     | September 29, 1962 | 2,717        | 6 Tony Awards in 1957, including Best Musical Revivals in 1976 (377 performances), 1981 (120 performances), and 1993 (165 performances)                                                                                                                                                                                                                                      |
| 21.  | Hairspray                                        | M    | August 16, 2002    | January 4, 2009    | 2,642        | 8 Tony Awards in 2003, including Best Musical 10 Drama Desk Awards in 2003, including Outstanding Musical Grammy Award for Best Musical Show Album in 2003                                                                                                                                                                                                                   |
| 22.  | Mary Poppins                                     | M    | November 16, 2006  | March 3, 2013      | 2,619        | A Tony Award in 2007 2 Drama Desk Awards in 2007                                                                                                                                                                                                                                                                                                                             |
| 23.  | Avenue Q                                         | M    | July 31, 2003      | September 13, 2009 | 2,534        | 3 Tony Awards in 2004, including Best Musical                                                                                                                                                                                                                                                                                                                                |
| 24.  | The Producers                                    | M    | April 19, 2001     | April 22, 2007     | 2,502        | 12 Tony Awards in 2001, including Best Musical 11 Drama Desk Awards in 2001, including Outstanding Musical Grammy Award for Best Musical Show Album in 2002 Most Tony Awards won by a production                                                                                                                                                                             |
| 25.  | Annie                                            | M    | April 21, 1977     | January 2, 1983    | 2,377        | 7 Tony Awards in 1977, including Best Musical 7 Drama Desk Awards in 1977, including Outstanding Musical Grammy Award for Best Cast Show Album in 1978 Revivals in 1997 (239 performances) and 2012 (487 performances)                                                                                                                                                       |
| 25.  | Cabaret                                          | M    | March 19, 1998     | January 4, 2004    | 2,377        | Revival 4 Tony Awards in 1998, including Best Revival of a Musical 3 Drama Desk Awards in 1998, including Outstanding Revival of a Musical Original production in 1966 (1165 performances) and revivals in 1987 (261 performances) and 2014                                                                                                                                  |
