Season	Level	Division	Section	Position	Movements
1960	Tier 4	Division 4	Hälsingland	3rd	
1961	Tier 4	Division 4	Hälsingland	2nd	
1962	Tier 4	Division 4	Hälsingland	1st	Promoted
1963	Tier 3	Division 3	Södra Norrland	6th	
1964	Tier 3	Division 3	Södra Norrland Nedre	4th	
1965	Tier 3	Division 3	Södra Norrland Nedre	10th	Relegated
1966	Tier 4	Division 4	Hälsingland	9th	
1967	Tier 4	Division 4	Hälsingland	2nd	
1968	Tier 4	Division 4	Hälsingland	6th	
1969	Tier 4	Division 4	Hälsingland	3rd	
1970	Tier 4	Division 4	Hälsingland	2nd	
1971	Tier 4	Division 4	Hälsingland	1st	Promotion Playoffs – Promoted
1972	Tier 3	Division 3	Norra Svealand	6th	
1973	Tier 3	Division 3	Norra Svealand	11th	Relegated
1974	Tier 4	Division 4	Hälsingland	1st	Promoted
1975	Tier 3	Division 3	Södra Norrland	9th	
1976	Tier 3	Division 3	Södra Norrland	9th	
1977	Tier 3	Division 3	Södra Norrland	9th	
1978	Tier 3	Division 3	Södra Norrland	6th	
1979	Tier 3	Division 3	Södra Norrland	9th	
1980	Tier 3	Division 3	Södra Norrland	7th	
1981	Tier 3	Division 3	Södra Norrland	9th	
1982	Tier 3	Division 3	Södra Norrland	12th	Relegated
1982	Tier 4	Division 4	Hälsingland	3rd	
