| Country                                  | 2014        | 2013        | 2012         | 2010         | 2009         | 2008        | 2007         | 2006         | 2005         | 2004         | 2003        | 2002        |
| Finland                                  | (001) 6.40  | (001) 6.38  | (001) -10.00 | (001) 0.00   | (001) 0.00   | (004) 2.00  | (005) 1.50   | (001) 0.50   | (001) 0.50   | (001) 0.50   | (001) 0.50  | (001) 0.50  |
| Netherlands                              | (002) 6.46  | (002) 6.48  | (003) -9.00  | (001) 0.00   | (007) 1.00   | (016) 4.00  | (012) 3.50   | (001) 0.50   | (001) 0.50   | (001) 0.50   | (001) 0.50  | (001) 0.50  |
| Norway                                   | (003) 6.52  | (003) 6.52  | (001) -10.00 | (001) 0.00   | (001) 0.00   | (001) 1.50  | (001) 0.75   | (006) 2.00   | (001) 0.50   | (001) 0.50   | (001) 0.50  | (001) 0.50  |
| Luxembourg                               | (004) 6.70  | (004) 6.68  | (006) -7.00  | (014) 4.00   | (020) 4.00   | (001) 1.50  | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Andorra                                  | (005) 6.82  | (005) 6.82  | N/A          | N/A          | N/A          | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Liechtenstein                            | (006) 7.02  | (007) 7.35  | N/A          | N/A          | N/A          | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Denmark                                  | (007) 7.43  | (006) 7.08  | (010) -5.67  | (011) 2.50   | (001) 0.00   | (014) 3.50  | (008) 2.00   | (019) 5.00   | (001) 0.50   | (001) 0.50   | (005) 1.00  | (010) 3.00  |
| Iceland                                  | (008) 8.50  | (009) 8.49  | (006) -7.00  | (001) 0.00   | (009) 2.00   | (001) 1.50  | (001) 0.75   | (001) 0.50   | (001) 0.50   | (001) 0.50   | (001) 0.50  | (001) 0.50  |
| New Zealand                              | (009) 8.55  | (008) 8.38  | (013) -5.33  | (008) 1.50   | (013) 3.00   | (007) 3.00  | (015) 4.17   | (019) 5.00   | (012) 2.00   | (009) 0.67   | (017) 2.83  | N/A         |
| Sweden                                   | (010) 8.98  | (010) 9.23  | (012) -5.50  | (001) 0.00   | (001) 0.00   | (007) 3.00  | (005) 1.50   | (014) 4.00   | (012) 2.00   | (011) 2.00   | (009) 1.50  | (007) 1.50  |
