Rank	Bib	Country	Time	Penalties (P+S)	Deficit
	1	Russia\nSvetlana Sleptsova\nAnna Bogaliy-Titovets\nOlga Medvedtseva\nOlga Zaitseva	1:09:36.3\n17:24.4\n17:17.3\n17:27.7\n17:26.9	0+2 0+3\n0+0 0+0\n0+1 0+1\n0+0 0+0\n0+1 0+2	0.0
	4	France\nMarie-Laure Brunet\nSylvie Becaert\nMarie Dorin\nSandrine Bailly	1:10:09.1\n17:22.6\n17:17.6\n18:34.2\n16:54.7	2+4 0+4\n0+0 0+2\n0+0 0+1\n2+3 0+1\n0+1 0+0	+32.8
	2	Germany\nKati Wilhelm\nSimone Hauswald\nMartina Beck\nAndrea Henkel	1:10:13.4\n17:26.0\n17:16.2\n18:12.0\n17:19.2	0+2 0+3\n0+1 0+0\n0+0 0+0\n0+1 0+1\n0+0 0+2	+37.1
4	5	Norway\nLiv-Kjersti Eikeland\nAnn Kristin Flatland\nSolveig Rogstad\nTora Berger	1:10:34.1\n18:20.4\n16:52.6\n18:21.2\n16:59.9	0+1 0+2\n0+0 0+2\n0+0 0+0\n0+0 0+0\n0+1 0+0	+57.8
5	3	Sweden\nElisabeth Högberg\nAnna Carin Olofsson-Zidek\nAnna Maria Nilsson\nHelena Jonsson	1:10:47.2\n17:46.7\n17:25.9\n18:16.8\n17:17.8	0+2 0+1\n0+0 0+1\n0+0 0+0\n0+2 0+0\n0+0 0+0	+1:10.9
6	7	Ukraine\nOlena Pidhrushna\nValj Semerenko\nOksana Khvostenko\nVita Semerenko	1:11:08.2\n17:36.9\n17:56.3\n17:44.7\n17:50.3	0+2 0+6\n0+0 0+1\n0+1 0+3\n0+1 0+0\n0+0 0+2	+1:31.9
7	8	Belarus\nLiudmila Kalinchik\nDarya Domracheva\nOlga Kudrashova\nNadezhda Skardino	1:11:34.0\n17:40.0\n17:28.7\n18:27.4\n17:57.9	0+1 0+2\n0+1 0+1\n0+0 0+1\n0+0 0+0\n0+0 0+0	+1:57.7
8	12	Slovenia\nDijana Ravnikar\nAndreja Mali\nTadeja Brankovič-Likozar\nTeja Gregorin	1:12:02.4\n17:50.4\n18:18.2\n18:07.8\n17:46.0	0+4 0+2\n0+0 0+1\n0+1 0+1\n0+2 0+0\n0+1 0+0	+2:26.1
9	6	China\nWang Chunli\nLiu Xianying\nKong Yingchao\nSong Chaoqing	1:12:16.9\n17:44.7\n17:47.7\n19:10.4\n17:34.1	0+2 0+6\n0+1 0+2\n0+1 0+1\n0+0 0+3\n0+0 0+0	+2:40.6
10	10	Romania\nDana Plotogea\nÉva Tófalvi\nMihaela Purdea\nReka Ferencz	1:12:32.9\n18:10.6\n17:47.8\n18:23.2\n18:11.3	0+1 0+6\n0+0 0+1\n0+0 0+2\n0+1 0+3\n0+0 0+0	+2:56.6
11	17	Italy\nMichela Ponza\nKatja Haller\nKarin Oberhofer\nRoberta Fiandino	1:12:54.2\n18:20.5\n17:58.2\n18:19.3\n18:16.2	0+4 0+4\n0+1 0+1\n0+0 0+0\n0+0 0+2\n0+3 0+1	+3:17.9
12	11	Poland\nKrystyna Palka\nMagdalena Gwizdoń\nWeronika Nowakowska-Ziemniak\nAgnieszka Cyl	1:12:54.3\n18:21.2\n19:10.2\n17:55.7\n17:27.2	0+5 1+7\n0+2 0+2\n0+3 1+3\n0+0 0+1\n0+0 0+1	+3:18.0
13	15	Slovakia\nMartina Halinárová\nAnastasiya Kuzmina\nNatália Prekopová\nJana Gereková	1:13:15.8\n18:27.1\n17:09.3\n19:41.7\n17:57.7	0+2 1+9\n0+1 0+2\n0+0 0+1\n0+0 1+3\n0+1 0+3	+3:39.5
14	9	Kazakhstan\nElena Khrustaleva\nAnna Lebedeva\nLyubov Filimonova\nMarina Lebedeva	1:13:42.9\n17:42.1\n18:00.8\n18:52.6\n19:07.4	0+4 0+5\n0+0 0+1\n0+1 0+1\n0+1 0+2\n0+2 0+1	+4:06.6
15	18	Canada\nMegan Imrie\nZina Kocher\nRosanna Crawford\nMegan Tandy	1:14:25.5\n18:18.9\n18:04.9\n19:50.9\n18:10.8	1+7 0+5\n0+1 0+3\n0+2 0+1\n1+3 0+0\n0+1 0+1	+4:49.2
16	14	Czech Republic\nVeronika Vítková\nMagda Rezlerova\nGabriela Soukalova\nZdenka Vejnarova	1:14:37.5\n17:51.1\n18:25.9\n18:23.7\n19:56.8	2+4 1+6\n0+1 0+1\n0+0 1+3\n0+0 0+1\n2+3 0+1	+5:01.2
17	19	United States\nSara Studebaker\nLanny Barnes\nHaley Johnson\nLaura Spector	1:15:47.5\n17:53.2\n18:52.5\n19:01.5\n20:00.3	1+8 0+4\n0+1 0+0\n0+1 0+1\n0+3 0+0\n1+3 0+3	+6:11.2
18	16	Estonia\nKadri Lehtla\nEveli Saue\nSirli Hanni\nKristel Viigipuu	1:17:55.5\n18:49.8\n18:15.4\n20:06.6\n20:43.7	2+9 0+7\n0+2 0+2\n0+1 0+1\n1+3 0+1\n1+3 0+3	+8:19.2
19	13	Latvia\nZanna Juskane\nMadara Līduma\nLiga Glazere\nGerda Krumina	1:18:56.2\n21:06.7\n18:09.7\n20:51.6\n18:48.2	2+5 2+7\n2+3 0+2\n0+1 0+1\n0+0 2+3\n0+1 0+1	+9:19.9
