Urban settlements	Population	Male	Female	Inhabited localities in jurisdiction
Dzhebariki-Khaya\n(Джебарики-Хая)	1694	844 (49.8%)	850 (50.2%)	Urban-type settlement of Dzhebariki-Khaya
Khandyga\n(Хандыга)	6638	3326 (49.8%)	3312 (50.2%)	Urban-type settlement of Khandyga (administrative centre of the district)
Rural settlements	Population	Male	Female	Rural localities in jurisdiction*
Bayagantaysky Nasleg\n(Баягантайский наслег)	1823	884 (48.5%)	939 (51.5%)	selo of Krest-Khaldzhan\nselo of Ary-Tolon\nselo of Udarnik
Megino-Aldansky Nasleg\n(Мегино-Алданский наслег)	1020	490 (48.0%)	530 (52.0%)	selo of Megino-Aldan
Okhot-Perevozovsky Nasleg\n(Охот-Перевозовский наслег)	142	70 (49.3%)	72 (50.7%)	selo of Okhotsky-Perevoz
Sasylsky Nasleg\n(Сасыльский наслег)	555	275 (49.5%)	280 (50.5%)	selo of Keskil
Teploklyuchevsky Nasleg\n(Теплоключевский наслег)	887	447 (50.4%)	440 (49.6%)	selo of Teply Klyuch\nselo of Aeroport\nselo of Razbilka
Tomponsky National Nasleg\n( Томпонский национальный наслег)	915	458 (50.1%)	457 (49.9%)	selo of Topolinoye
Ynginsky Nasleg\n(Ынгинский наслег)	425	217 (51.1%)	208 (48.9%)	selo of Novy\nselo of Saydy
