Contestant	Original\nTribe	First\nSwitch	Second\nSwitch	Merged\nTribe	Finish	Ghost\nIsland	Total\nVotes
Branka Čudanov\n28, Kikinda	Ga 'dang				2nd Voted Out\nDay 7	1st Eliminated\nDay 9	10
Gordana Berger\n38, Belgrade	Manobo				1st Voted Out\nDay 4	2nd Eliminated\nDay 12	9
Ana Mitrić\n23, Belgrade	Ga 'dang				3rd Voted Out\nDay 10	3rd Eliminated\nDay 15	7
Milena Vitanović\n21, Paraćin	Ga 'dang				4th Voted Out\nDay 13	4th Eliminated\nDay 18	8
Nikola Kovačević\nReturned to game from Ghost Island	Ga 'dang				5th Voted Out\nDay 16	Ghost Island Winner\nDay 32	6
Branislava Bogdanović\n27, Kačarevo	Manobo				Eliminated in a twist\nDay 17	5th Eliminated\nDay 18	2
Pece Kotevski\n42, Bitola, Macedonia	Ga 'dang	Manobo			6th Voted Out\nDay 19	6th Eliminated\nDay 21	7
Predrag Veljković\n29, Pekčanica, near Kraljevo	Ga 'dang	Manobo			Quit\nDay 22	7th Eliminated\nDay 24	3
Anita Mažar\n23, Kula	Ga 'dang	Ga 'dang			Removed Due to Injury\nDay 24		1
Aleksandar Bošković\n28, Belgrade	Manobo	Manobo			7th Voted Out\nDay 25	8th Eliminated\nDay 27	4
Ana Stojanovska\n21, Skopje, Macedonia	Manobo	Manobo	Manobo		8th Voted Out\nDay 28	9th Eliminated\nDay 30	3
Luka Rajačić\n21, Belgrade	Ga 'dang	Manobo	Manobo		9th Voted Out\nDay 31	10th Eliminated\nDay 32	6
Nemanja Vučetić\n23, Novi Sad	Manobo	Ga 'dang	Ga 'dang	Diwata	10th Voted Out\n1st Jury Member\nDay 35		7
Nikola Kovačević\n24, Kragujevac	Ga 'dang			Diwata	11th Voted Out\n2nd Jury Member\nDay 38	Ghost Island Winner\nDay 32	12
Dina Berić\n23, Ledinci, near Novi Sad	Manobo	Ga 'dang	Manobo	Diwata	12th Voted Out\n3rd Jury Member\nDay 41		6
Višnja Banković\n24, Aranđelovac	Ga 'dang	Ga 'dang	Ga 'dang	Diwata	13th Voted Out\n4th Jury Member\nDay 44		14
Klemen Rutar\n21, Ljubljana, Slovenija	Manobo	Ga 'dang	Ga 'dang	Diwata	14th Voted Out\n5th Jury Member\nDay 47	Locator of\nHidden Immunity Idol\n(Failed)\nDay 34	6
Srđan Dinčić\n25, Sremska Mitrovica	Manobo	Manobo	Ga 'dang	Diwata	15th Voted Out\n6th Jury Member\nDay 50		7
Srđan Dinčić\n25, Sremska Mitrovica	Manobo	Manobo	Manobo	Diwata	15th Voted Out\n6th Jury Member\nDay 50		7
Njegoš Arnautović\n21, Bijeljina, Republika Srpska	Manobo	Ga 'dang	Ga 'dang	Diwata	Eliminated in Challenge\n7th Jury Member\nDay 53	Locator of\nHidden Immunity Idol\n(Successful)\nDay 40	1
Dušan Milisavljević\n25, Zvečan	Manobo	Manobo	Manobo	Diwata	Eliminated in Challenge\n8th Jury Member\nDay 53	Locator of\nHidden Immunity Idol\n(Failed)\nDay 37	2
Vesna Đolović\n38, Beograd	Manobo	Manobo	Manobo	Diwata	2nd Runner-Up	Locator of\nHidden Immunity Idol\n(Failed)\nDay 46	8
Teja Lapanja\n30, Škofja Loka, Slovenija	Ga 'dang	Ga 'dang	Ga 'dang	Diwata	Runner-Up	Locator of\nHidden Immunity Idol\n(Failed)\nDay 49	1
Aleksandar Krajišnik\n19, Majur, near Šabac	Ga 'dang	Ga 'dang	Ga 'dang	Diwata	Sole Survivor	Locator of\nHidden Immunity Idol\n(Failed)\nDay 43	0
