"Rank","Nation","Gold","Silver","Bronze","Total"
"1","Russia","17","5","5","27"
"2","Bulgaria","5","2","3","10"
"3","Belarus","2","4","2","8"
"4","Ukraine","1","2","11","14"
"5","Kazakhstan","1","1","3","5"
"6","Latvia","1","0","0","1"
"7","Uzbekistan","0","3","4","7"
"8","Lithuania","0","1","6","7"
"8","Venezuela","0","3","3","6"
"9","Mongolia","0","2","4","6"
"10","Armenia","0","1","3","4"
"11","Japan","0","0","3","3"
"12","Estonia","0","0","2","2"
"13","Azerbaijan","0","1","0","1"
"13","France","0","1","0","1"
"13","Germany","0","1","0","1"
"13","Romania","0","1","0","1"
"17","Serbia","0","0","1","1"
"17","Spain","0","0","1","1"
"17","Tajikistan","0","0","1","1"
"17","Turkmenistan","0","0","1","1"
"21","Algeria","0","0","0","0"
"21","Austria","0","0","0","0"
"21","Belgium","0","0","0","0"
"21","Cameroon","0","0","0","0"
"21","Canada","0","0","0","0"
"21","Colombia","0","0","0","0"
"21","Czech Republic","0","0","0","0"
"21","Cyprus","0","0","0","0"
"21","Ecuador","0","0","0","0"
"21","Finland","0","0","0","0"
"21","Great Britain","0","0","0","0"
"21","India","0","0","0","0"
"21","Indonesia","0","0","0","0"
"21","Ireland","0","0","0","0"
"21","Israel","0","0","0","0"
"21","Italy","0","0","0","0"
"21","Jordan","0","0","0","0"
"21","South Korea","0","0","0","0"
"21","Kyrgyzstan","0","0","0","0"
"21","Lebanon","0","0","0","0"
"21","Malaysia","0","0","0","0"
"21","Morocco","0","0","0","0"
"21","Moldova","0","0","0","0"
"21","Nepal","0","0","0","0"
"21","New Zealand","0","0","0","0"
"21","Pakistan","0","0","0","0"
"21","Panama","0","0","0","0"
"21","Peru","0","0","0","0"
"21","Poland","0","0","0","0"
"21","Syria","0","0","0","0"
"21","Slovenia","0","0","0","0"
"21","Slovakia","0","0","0","0"
"21","Thailand","0","0","0","0"
"21","Tunisia","0","0","0","0"
"21","Turkey","0","0","0","0"
"21","United States","0","0","0","0"
"21","Yemen","0","0","0","0"
"Total","Total","27","27","54","108"
