"Year","State/Territory Men's Division","State/Territory Women's Division","Major Centres Division","Community Division","Women's Division"
"2012","Queensland","New South Wales","","",""
"2012","New South Wales","New South Wales","Darwin","Brothers in Arms","Bush Potatoes"
"2011","New South Wales","New South Wales","Maranoa Murris","Gap Angels","Bush Potatoes"
"2010","Western Australia","","","",""
"2009","Queensland","","Alkupitja","Tangentyere","New South Wales"
"2008","Queensland","","Katherine","Cooktown","New South Wales"
"2007","New South Wales","","Alkupitja","Cat Tigers","CGA Cougars"
"2006","Queensland","","Alice Springs","Melville Island","Darwin"
"2005","Queensland","","Alice Springs","Alkupitja","Darwin"
"2004","Queensland","","Alice Springs","Normanton","Tennant Creek"
"2003","New South Wales","","Darwin","",""
"2002","Northern Territory","","Darwin","",""
"2001","Tasmania","","","",""
