Hand	Auto	Wind	Athlete	Nationality	Birthdate	Location	Date
	10.26	2.3	Troy Douglas	Netherlands	30.11.1962	Utrecht	10.07.2004
	10.29	1.9	Troy Douglas	Netherlands	30.11.1962	Leiden	07.06.2003
	10.60		Bill Collins	United States	20.11.1950		06.06.1992
	10.84	1.8	Erik Oostweegel	Netherlands	29.04.1960	Tilburg	10.06.2000
	10.87		Eddie Hart	United States	24.04.1949	Eugene	03.08.1989
	10.90		Thaddeus Bell	United States	28.11.1942	Raleigh	01.05.1988
	10.93	0.6	Gilles Echevin	France	01.09.1948	Grenoble	07.05.1989
10.7			Klaus Jürgen Schneider	Germany	02.03.1942	Stuttgart	07.07.1982
10.7			Walt Butler	United States	21.03.1941	Northridge	16.05.1981
10.7			Thane Baker	United States	04.10.1931	Elkhart	13.09.1972
	10.95		George McNeill	United Kingdom	19.02.1947	Melbourne	31.11.1987
	10.95		Karl Heinz Schröder	Germany	17.06.1939	Hannover	28.07.1979
