"Name","Animal Type","Introduced","Reintroduced","Retired","Beanie Baby Resembled"
"Antlers","Moose","","1999 (neon)","1999","Chocolate"
"Baba","Lamb","","1999 (neon)","1999","Fleece"
"Bruiser","Bulldog","1997","","","Wrinkles"
"Carrots","Bunny","","1999 (neon)","1999","Ears, but pink instead of brown"
"Chewy","","","1999 (neon)","1999",""
"Clover","Bunny","1998","","","Ears, but white instead of brown"
"Foxy","Fox","","","","Sly"
"Glide","Porpoise","","","","Echo the Dolphin"
"Huggy","Bear","1995","1999 (neon)","1999","Cubbie, but yellow instead of brown"
"Meow","Cat","1997","1999 (neon)","1999","Snip"
"Moo","Cow","1995","","","Daisy, but with white body instead of black"
"Oink","Pig","1995","","","Squealer"
"Paddles","Platypus","","1999 (neon)","1999","Patti"
"Purr","Tiger","","","","Stripes, but yellow-orange instead of orange-black"
"Red","Bull","","","","Snort"
"Ribbit (All-Green)","Frog","1995","1999 (neon)","1999","Legs"
"Ribbit (Green-Yellow)","Frog","","","","Smoochy"
"Sherbert","Tie-Dye Bear","1998","1999 (neon)","1999","Sammy"
"Snap (All-Yellow)","Turtle","1995","","","Speedy, but yellow instead of green"
"Snap (Yellow-Green)","Turtle","","1999 (neon)","","Peekaboo"
"Snuggy","Bear","1995","","","Cubbie, but pink instead of brown"
"Sparkler","Bear","","","1999","Spangle"
"Speckles","Leopard","","","","Freckles"
"Spotty","Dalmatian","","","","Dotty"
"Squirt","Elephant","","1999 (neon)","1999","Peanut"
"Swinger","Monkey","","1999 (neon)","1999","Bongo"
"Tide","Whale","","","","Splash"
"Tubby","Hippopotamus","","","","Happy"
"Woof","Dog","1995","1999 (neon)","1999","Bones"
"Zulu","Zebra","","","","Ziggy, but pink-green instead of black-white"
