"Round","100 yd (91 m)","80 yd (73 m)","60 yd (55 m)","50 yd (46 m)","40 yd (37 m)"
"York","6 doz.","4 doz.","2 doz.","–","–"
"Hereford","–","6 doz.","4 doz.","2 doz.","–"
"St. George","3 doz.","3 doz.","3 doz.","–","–"
"Albion","–","3 doz.","3 doz.","3 doz.","–"
"Windsor","–","–","3 doz.","3 doz.","3 doz."
"New Western","4 doz.","4 doz.","–","–","–"
"Long Western","–","4 doz.","4 doz.","–","–"
"Western","–","–","4 doz.","4 doz.","–"
"American","–","–","2 ½ doz.","2 ½ doz.","2 ½ doz."
"New National","4 doz.","2 doz.","–","–","–"
"Long National","–","4 doz.","2 doz.","–","–"
"National","–","–","4 doz.","2 doz.","–"
"New Warwick","2 doz.","2 doz.","–","–","–"
"Long Warwick","–","2 doz.","2 doz.","–","–"
"Warwick","–","–","2 doz.","2 doz.","–"
