| Season | Team                  | Record | Head Coach     | Quarterback      | Leading Rusher     | Leading Receiver | All-Pros                                                 | Runner Up            |
| 1970   | Dallas Cowboys        | 10–4   | Tom Landry*    | Craig Morton     | Duane Thomas       | Bob Hayes*       | Howley                                                   | San Francisco 49ers  |
| 1971   | Dallas Cowboys†       | 11–3   | Tom Landry*    | Roger Staubach*  | Duane Thomas       | Bob Hayes*       | Lilly*, Niland, Wright*                                  | San Francisco 49ers  |
| 1972   | Washington Redskins   | 11–3   | George Allen*  | Billy Kilmer     | Larry Brown        | Charley Taylor*  | Brown, Hanburger*                                        | Dallas Cowboys       |
| 1973   | Minnesota Vikings     | 12–2   | Bud Grant*     | Fran Tarkenton*  | Chuck Foreman      | John Gilliam     | Eller*, Page*, Yary*                                     | Dallas Cowboys       |
| 1974   | Minnesota Vikings     | 10–4   | Bud Grant*     | Fran Tarkenton*  | Chuck Foreman      | Jim Lash         | Page*, Yary*                                             | Los Angeles Rams     |
| 1975   | Dallas Cowboys        | 10–4   | Tom Landry*    | Roger Staubach*  | Robert Newhouse    | Drew Pearson     | none                                                     | Los Angeles Rams     |
| 1976   | Minnesota Vikings     | 11–2–1 | Bud Grant*     | Fran Tarkenton*  | Chuck Foreman      | Sammy White      | Yary*                                                    | Los Angeles Rams     |
| 1977   | Dallas Cowboys†       | 12–2   | Tom Landry*    | Roger Staubach*  | Tony Dorsett*      | Drew Pearson     | Harris, Herrera, Martin, Pearson                         | Minnesota Vikings    |
| 1978   | Dallas Cowboys        | 12–4   | Tom Landry*    | Roger Staubach*  | Tony Dorsett*      | Tony Hill        | Harris, White*                                           | Los Angeles Rams     |
| 1979   | Los Angeles Rams      | 9–7    | Ray Malavasi   | Pat Haden        | Wendell Tyler      | Preston Dennard  | Brooks, Youngblood*                                      | Tampa Bay Buccaneers |
| 1980   | Philadelphia Eagles   | 12–4   | Dick Vermeil   | Ron Jaworski     | Wilbert Montgomery | Charlie Smith    | Johnson                                                  | Dallas Cowboys       |
