Airing\ndate	English title\n(Chinese title)	Number of episodes	Main cast	Theme song (T)\nSub-theme song (ST)	Genre	Notes	Official website
19 Feb-\n15 Mar	Mutual Affection\n河東獅吼	20	Esther Kwan, Gordon Lam, Natalie Wong	T: "怕老婆會發達"\n(David Lui)	Costume drama		
18 Mar-\n3 May	Dark Tales\n聊齋	35	Gallen Lo, Grace Yu, Jamie Wang, Cynthia Khan	T: "隔世情"\n(Cass Phang)	Costume drama	Prequel to 1998's Dark Tales II.	
6 May-\n31 May	Money Just Can't Buy\n天降財神	20	Bobby Au Yeung, Mariane Chan, Roger Kwok, Hilary Tsui	T: "運財有福星"\n(Natalis Chan)	Modern drama		
3 Jun-\n21 Jun	Crossing Boundaries\n盞鬼老豆	15	Mini Kung, Benz Hui	T: "覺悟"\n(Vivian Lai)	Modern drama	Released overseas on April 3, 1995.	
24 Jun-\n16 Aug	State of Divinity\n笑傲江湖	40	Jackie Lui, Fiona Leung, Cherie Chan, Timmy Ho, He Meitian	T: "活得瀟灑"\n(Alan Tam & Priscilla Chan)	Costume drama		Official website
19 Aug-\n6 Sep	The Price to Pay\n五個醒覺的少年	20	John Kwan, May Kwong, Ng Ka Lok	T: "改改改"\n(Hacken Lee)	Modern drama	Released overseas on December 7, 1995.	
9 Sep-\n4 Oct	Night Journey\n殭屍福星	20	Yuen Wah, Daniel Chan, Louisa So, Cheung Kwok Keung, Halina Tam	T: "今天開始"\n(Daniel Chan)\nST: "天生一對"\n(Daniel Chan)	Costume drama		
7 Oct-\n15 Nov	Food of Love\n闔府統請	30	Wong He, Kenix Kwok, Marco Ngai, Gabriel Harrison	T: "闔府統請"\n(Gabriel Harrison)	Modern drama		
10 Nov-\n20 Dec	Journey to the West\n西遊記	30	Dicky Cheung, Kwong Wah, Wayne Lai, Evergreen Mak	T: "西遊記"\n(Dicky Cheung)	Costume drama	Prequel to 1998's Journey to the West II.	Official website
30 Dec 1996-\n27 Jan 1998	In the Name of Love\n有肥人終成眷屬	20	Kent Cheng, Sunny Chan, Gigi Fu, Theresa Lee	T: "但願有情人"\n(Mo Kai Yin)	Modern drama		
