Date	Time	Opponent#	Rank#	Site	TV	Result	Attendance
August 31	6:00 PM	at #13 Michigan State*	#22	Spartan Stadium • East Lansing, MI	ESPN	L 13–17	78,709
September 15	2:00 PM	Miami (OH)*		Bronco Stadium • Boise, ID	NBCSN	W 39–12	34,178
September 20	7:00 PM	BYU*		Bronco Stadium • Boise, ID	ESPN	W 7–6	36,864
September 29	4:00 PM	at New Mexico		University Stadium • Albuequerque, NM	KTVB	W 32–29	28,270
October 6	10:00 AM	at Southern Miss*	#25	M. M. Roberts Stadium • Hattiesburg, MS	FSN	W 40–14	25,337
October 13	1:30 PM	Fresno State	#22	Bronco Stadium • Boise, ID (Battle for the Milk Can)	NBCSN	W 20–10	35,742
October 20	1:30 PM	UNLV	#22	Bronco Stadium • Boise, ID	NBCSN	W 32–7	36,012
October 27	1:30 PM	at Wyoming	#18	War Memorial Stadium • Laramie, WY	CBSSN	W 45–14	17,855
November 3	8:30 PM	San Diego State	#14	Bronco Stadium • Boise, ID	CBSSN	L 19–21	36,084
November 10	5:00 PM	at Hawaiʻi	#24	Aloha Stadium • Honolulu, HI	NBCSN	W 49–14	29,471
November 17	1:30 PM	Colorado State	#22	Bronco Stadium • Boise, ID	NBCSN	W 42–14	33,545
December 1	1:30 PM	at Nevada	#15	Mackay Stadium • Reno, NV (Rivalry)	ABC	W 27–21	30,017
December 22	1:30 PM	vs. Washington*	#15	Sam Boyd Stadium • Whitney, NV (Maaco Bowl Las Vegas)	ESPN	W 28–26	33,217
