"Year","Film","Role","Language","Notes"
"2009","Toss: A Flip of Destiny","Sherry","Hindi",""
"2009","Aa Okkadu","Dr. Pavitra","Telugu",""
"2010","Mouna Ragam","Sandhya","Telugu",""
"2010","Saradaga Kasepu","Manimala","Telugu",""
"2010","Orange","Madhu","Telugu","Special appearance"
"2012","Kamaal Dhamaal Malamaal","Maria","Hindi",""
"2013","Mahankali","Tanisha","Telugu",""
"2013","Shadow","","Telugu",""
"2013","Eepeeko","","Tamil","Filming"
"2013","Black Coffee","","Malayalam","Filming"
"2014","Koothara","Shaista","Malayalam","Filming"
"2014","Kotha Janta","","Telugu","Filming"
"2013","Serndhu Polama","","Tamil","Filming"
