"Week","Date","Opponent","Result","Attendance"
"1","September 1, 1991","Minnesota Vikings","W 10–6","64,112"
"2","September 8, 1991","at Tampa Bay Buccaneers","W 21–20","65,625"
"3","September 15, 1991","New York Giants","W 20–17","64,829"
"4","September 23, 1991","New York Jets","W 19–13","65,255"
"5","September 29, 1991","at Buffalo Bills","L 35–20","80,366"
"6","October 6, 1991","Washington Redskins","L 20–7","64,941"
"7","Bye","Bye","Bye","Bye"
"8","October 17, 1991","at Green Bay Packers","W 10–0","58,435"
"9","October 27, 1991","at New Orleans Saints","W 20–17","68,591"
"10","November 3, 1991","Detroit Lions","W 20–10","57,281"
"11","November 11, 1991","at Minnesota Vikings","W 34–17","59,001"
"12","November 17, 1991","at Indianapolis Colts","W 31–17","60,519"
"13","November 24, 1991","Miami Dolphins","L 16–13","58,288"
"14","November 28, 1991","at Detroit Lions","L 16–6","78,879"
"15","December 8, 1991","Green Bay Packers","W 27–13","62,353"
"16","December 14, 1991","Tampa Bay Buccaneers","W 27–0","54,719"
"17","December 23, 1991","at San Francisco 49ers","L 52–14","60,419"
