"Rank","Cyclist","Team","Laps
down","Notes"
"1","Iryna Shpylova","Ukraine","","Q"
"2","Jessie Daams","Belgium","","Q"
"3","Eunmi Park","South Korea","-1","Q"
"4","Evgeniya Romanyuta","Russia","-1","Q"
"5","Andrea Wolfer","Switzerland","-1","Q"
"6","Giorgia Bronzini","Italy","-1","Q"
"7","Leire Olaberria Dorronsoro","Spain","-1","Q"
"8","Joanne Kiesanowski","New Zealand","-1","Q"
"9","Dulce Pliego","Mexico","-1","Q"
"10","Jessie Maclean","Verducci Breakaway Racing","-1","Q"
"11","Lisa Brennauer","Germany","-1","Q"
"12","Ashlee Ankudinoff","Australia","-1","Q"
"13","Wan Yiu Jamie Wong","Hong Kong","-1",""
"14","Lauren Franges","United States","-1",""
"15","Skye Lee Armstrong","Rodin","-1",""
"16","Rosy Mccall","GIS","-1",""
"17","Fatehah Mustapa","Malaysia","-1",""
"18","Yekatsiryna Barazna","Belarus","-1",""
