Region	Date	Label	Format	Catalog
United Kingdom	June 10, 1985	I.R.S.	vinyl LP	MIRF1003
United States	June 11, 1985	I.R.S.	LP	IRS-5592
United States	June 11, 1985	I.R.S.	cassette tape	IRSC-5592
United States	June 11, 1985	I.R.S.	Compact Disc	IRSD-5592
Greece	1985	Illegal	LP	26525
Australia	1985	I.R.S./Epic	LP	ELPS 4495
The Netherlands	1985	I.R.S.	LP	26525
Worldwide	1990	MCA	Compact Disc	5592
Worldwide	1990	I.R.S.	cassette tape	IRSC-5592
The Netherlands	August 6, 1992	EMI	Compact Disc	7 13160 2 9†
United Kingdom	1992	Simply Vinyl	180-gram vinyl LP	SVLP151
Worldwide	1998	Capitol	Compact Disc	93479
Europe	1998	EMI	Compact Disc	13160†
Worldwide	1999	I.R.S.	Compact Disc	19016
United States	1999	Simply Vinyl	LP	0000151
Europe	2000	I.R.S.	Compact Disc	7131602†
