Rank	Area	State/\nProvince	CSA/CMA\n2009 population	Projected\n2025 population	Projected increase\n2009–2025
1	Chicago	IL-IN-WI	9,804,845	10,935,100	1,130,255
2	Toronto	ON	5,741,400	7,408,000	1,666,600
3	Detroit	MI	5,327,764	6,191,000	863,236
4	Cleveland	OH	2,891,988	3,172,000	280,012
5	Milwaukee	WI	1,760,268	1,913,000	157,732
6	Ottawa – Gatineau	ON-QC	1,451,415	1,596,556	145,141
7	Grand Rapids	MI	1,327,366	1,530,000	202,634
8	Buffalo	NY	1,203,493	1,040,400	-163,093
9	Rochester	NY	1,149,653	1,248,600	98,947
10	Hamilton	ON	740,200	954,858	214,658
11	Toledo	OH	672,220	672,220	0
12	Lansing	MI	523,609	547,325	23,716
13	Kitchener – Cambridge – Waterloo	ON	492,400	635,196	142,796
14	London	ON	492,200	634,938	142,738
15	Fort Wayne	IN	414,315	455,623	39,366
16	St. Catharines – Niagara	ON	404,400	521,676	117,276
17	Windsor	ON	330,900	426,861	95,961
18	Erie	PA	280,985	N/A	N/A
