Name	Country	Top rugby league level	Top union level	Top representation level	Rugby League Debut	Rugby Union Debut
Karmichael Hunt	New Zealand, Australia	National Rugby League	Top 14, Biarritz Olympique	Australia (RL)	2004	2009
Chris Ashton	England	Super League	English Premiership	England (RL), England (RU)	2005	2007
Lee Smith	England	Super League	English Premiership	England (RL), Great Britain (RL)	2005	2009
Berrick Barnes	Australia	NRL	Super Rugby	Australia (RU)	2005	2006
Nathan Blacklock	Australia	NRL/Super League	Super 12	Australia (RL)	1995	2003
Willie Carne	Australia	NRL	Super Rugby	Australia (RL)	1990	1997
Brian Carney	Ireland	Super League/NRL	Celtic League	Great Britain (RL), Ireland (RU)	1999	2007
Ryan Cross	Australia	NRL	Super Rugby	Australia (RU)	1998	2007
Andy Farrell	England	Super League	English Premiership	Great Britain (RL), England (RU)	1991	2005
Paul Franze	Australia	NRL	English Premiership	Australia (RL), London Irish(RU)	2002	2006
Iestyn Harris	Wales	Super League	Heineken Cup, Celtic League	Great Britain (RL), Wales(RU)	1993	2001
Sam Harris	Australia	NRL	Super Rugby	Australian Schoolboys (RU), City v. Country (RL)	2003	2007
Wise Kativerata	Australia	NRL	Shute Shield	Australia Sevens (RU)	2001	2004
Ben MacDougall	Australia	NRL	Celtic League	Scotland (RU)	1998	2006
Stephen Myler	England	Super League	English Premiership	England Saxons (RU)	2001	2006
Henry Paul	New Zealand	NRL	English Premiership	New Zealand (RL), England (RU)	1993	2001
Jason Robinson	England	Super League	English Premiership	Great Britain (RL), England Captain and Lions (RU)	1991	1996
Mat Rogers	Australia	NRL	Super Rugby	Australia (RL/RU)	1995	2002
Wendell Sailor	Australia	NRL	Super Rugby	Australia (RL/RU)	1993	2002
Clinton Schifcofske	Australia	NRL/Super League	Super Rugby	State of Origin {RL}/Australia A (RU)	1996	2006
Timana Tahu	Australia	NRL	Super Rugby	Australia (RL/RU)	1999	2008
Alan Tait	Scotland	Super League	Celtic League	Scotland (RL/RU), Great Britain (RL), British & Irish Lions (RU)	1988	1996
Brad Thorn	Australia	NRL	Super Rugby	Australia (RL), New Zealand (RU)	1994	2001
Lote Tuqiri	Australia	NRL	Super Rugby	Australia (RL/RU), Fiji (RL)	1999	2003
Lesley Vainikolo	England	NRL, Super League	English Premiership	New Zealand (RL), England (RU)	2002	2007
Andrew Walker	Australia	NRL	Super Rugby	Australia (RL/RU)	1991	2000
Chev Walker	England	Super League	English Premiership	Great Britain (RL), England Saxons (RU)	1999	2007
Barrie Jon Mather	England	RFL Championship/Super League	England RU	Great Britain (RL), England (RL), England (RU)	1992	1998
Sonny Bill Williams	New Zealand	NRL	Top 14, Super Rugby	New Zealand Kiwis (RL), New Zealand All Blacks (RU)	2004	2008
Craig Wing	Australia	NRL	Top League	Australian Kangaroos (RL), Japan (RU)	2002	2010
Craig Gower	Australia	NRL	Top 14	Australian Kangaroos (RL), Italy (RU)	1996	2008
Mark Gasnier	Australia	NRL	Top 14	Australian Kangaroos (RL)	2000	2008
Shontayne Hape	New Zealand	NRL, Super League	English Premiership	New Zealand Kiwis (RL), England (RU)	2003	2008
Fabrice Estebanez	France	Super League	Top 14	France (RL), France (RU)	2005	2010
Tasesa Lavea	New Zealand	NRL	Super rugby, Top 14	New Zealand Kiwis (RL), Samoa (RU)	2000	2010
Cooper Vuna	New Zealand	NRL	Super rugby	Tonga (RL), Australia (RU)	2008	2012
Setaimata Sa	New Zealand, Samoa	NRL, Super League	English Premiership	New Zealand Kiwis (RL), Samoa (RL), Samoa (RU)	2008	2012
Peter Ryan	Australia	NRL	Super Rugby	Queensland (RL)	1989	2000
