"Region","Date","Label","Format","Catalog"
"Netherlands","April 19, 2004","Magik Muzik","vinyl, 12\"","Magik Muzik 817-5"
"Netherlands","April 19, 2004","Magik Muzik","CD, Maxi","Magik Muzik 817-2"
"Netherlands","April 19, 2004","Magik Muzik","CD, Single","Magik Muzik 817-1"
"Germany","May, 2004","Kontor Records","CD, Maxi","Kontor375"
"Germany","April 8, 2004","Kontor Records","vinyl, 12\"","Kontor375"
"Australia","April, 2004","Bang On!","vinyl, 12\"","BANG 056"
"Australia","May, 2004","Bang On!","CD, Maxi","BANG0096"
"United Kingdom","April 30, 2004","Nebula","CD, Maxi, Enhanced","NEBCD058"
"United Kingdom","April 30, 2004","Nebula","CD, Single, Promo","NEBCDDJ058"
"United Kingdom","April 30, 2004","Nebula","vinyl, 12\", Promo","NEBDJ058"
"United Kingdom","April 30, 2004","Nebula","CD, Maxi","NEBT058"
"Switzerland","June, 2004","Sirup","CD, Maxi","SIR021-1CD"
"Switzerland","June, 2004","Sirup","CD, Maxi","MV-SIR903572"
"Switzerland","June, 2004","Sirup","vinyl, 12\"","SIR021-6"
"United States","2004","Nettwerk America","vinyl, 12\"","0 6700 33227 1 3"
"United States","May, 2004","Nettwerk America","CD, Single","0 6700 33227 2 0"
"France","2004","Independence Records","vinyl, 12\"","IR 0408"
"Italy","June 5, 2004","Media Records","vinyl, 12\"","MR 2013"
"Scandinavia","2004","Playground Music Scandinavia","CD, Maxi","Magik Muzik 817-2"
