#	Title	Performer(s)	Film	Length
1	"A Dream Is a Wish Your Heart Makes"	Disney Channel Stars	Cinderella	3:46
2	"Zip-a-Dee-Doo-Dah"	Miley Cyrus	Song of the South	3:06
3	"If I Never Knew You"	The Cheetah Girls	Pocahontas	3:16
4	"Who's Afraid of the Big Bad Wolf?"	B5	Three Little Pigs	3:32
5	"Reflection" (Remix)	Christina Aguilera	Mulan	3:15
6	"I'll Try"	Jesse McCartney	Return to Never Land	3:51
7	"Look Through My Eyes"	Everlife	Brother Bear	3:11
8	"Candle on the Water"	Anneliese van der Pol	Pete's Dragon	3:08
9	"You'll Be in My Heart"	Teddy Geiger	Tarzan	4:15
10	"Yo Ho (A Pirate's Life for Me)"	Jonas Brothers	Pirates of the Caribbean	2:04
11	"Someday My Prince Will Come (feat. Drew Seeley)"	Ashley Tisdale	Snow White and the Seven Dwarfs	3:31
12	"Hawaiian Roller Coaster Ride"	Baha Men	Lilo & Stitch	3:30
13	"Can You Feel the Love Tonight"	Sara Paxton	The Lion King	3:40
14	"Super Cali (BoiOB Mix)"	Orlando Brown	Mary Poppins	3:32
15	"Monkey's Uncle"	Devo 2.0	The Monkey's Uncle	2:24
16	"Cruella De Vil" 1	Skye Sweetnam	101 Dalmatians	2:55
17	"Go the Distance" 1	K-Ci & JoJo	Hercules	4:10
