"Game","Date","Opponent","Venue","Result","Attendance","Goalscorers"
"1","19 August 1978","Hereford United","Away","0–0","5,674",""
"2","23 August 1978","Grimsby Town","Home","0–3","9,227",""
"3","26 August 1978","Reading","Away","0–2","4,788",""
"4","2 September 1978","Newport County","Home","2–3","5,319","Hinnigan, Purdie"
"5","9 September 1978","Wimbledon","Away","1–2","3,217","Corrigan"
"6","13 September 1978","Rochdale","Home","3–0","5,746","Wright, Corrigan, Hinnigan"
"7","16 September 1978","Bradford City","Home","1–3","7,090","Purdie"
"8","23 September 1978","York City","Away","1–0","3,307","Gore"
"9","26 September 1978","Portsmouth","Away","0–1","13,902",""
"10","30 September 1978","Scunthorpe United","Home","1–0","4,459","Brownbill"
"11","7 October 1978","Huddersfield Town","Away","1–1","5,150","Brownbill"
"12","14 October 1978","Doncaster Rovers","Home","1–0","5,788","Ward"
"13","18 October 1978","Halifax Town","Home","1–0","5,216","Hinnigan"
"14","21 October 1978","Barnsley","Away","0–0","9,841",""
"15","28 October 1978","Northampton Town","Home","2–0","6,264","Purdie (2, 1 pen.)"
"16","3 November 1978","Stockport County","Away","1–0","8,357","Hinnigan"
"17","10 November 1978","Newport County","Away","1–2","4,142","Houghton"
"18","18 November 1978","Reading","Home","3–0","5,858","Houghton (2), Ward"
"19","9 December 1978","Darlington","Away","1–1","1,967","Moore"
"20","16 December 1978","Halifax Town","Away","2–1","2,437","Moore, Purdie"
"21","26 December 1978","Crewe Alexandra","Home","1–0","7,586","Houghton"
"22","30 December 1978","Aldershot","Home","3–2","7,289","Moore, Houghton (2)"
"23","9 January 1979","Port Vale","Away","1–2","3,744","Wright (pen.)"
"24","3 February 1979","Portsmouth","Home","2–0","8,289","Wright, Corrigan"
"25","14 February 1979","Wimbledon","Home","1–2","6,704","Purdie (pen.)"
"26","17 February 1979","Huddersfield Town","Home","2–1","7,420","Ward (2)"
"27","24 February 1979","Doncaster Rovers","Away","1–0","4,612","Wright"
"28","28 February 1979","York City","Home","1–1","5,896","Houghton"
"29","3 March 1979","Barnsley","Home","1–1","9,427","Wright"
"30","10 March 1979","Northampton Town","Away","4–2","2,275","Brownbill (2), Purdie, Corrigan"
"31","14 March 1979","Torquay United","Home","3–1","5,722","Moore (2), Hinnigan"
"32","17 March 1979","Stockport County","Home","2–0","7,610","Wright, Smart"
"33","19 March 1979","Rochdale","Away","2–0","3,621","Purdie, Moore"
"34","24 March 1979","Grimsby Town","Away","1–3","8,252","Wigginton (o.g.)"
"35","28 March 1979","Hereford United","Home","0–0","4,876",""
"36","31 March 1979","Bournemouth","Home","1–0","5,527","Houghton"
"37","3 April 1979","Hartlepool United","Away","1–1","2,081","Houghton"
"38","7 April 1979","Torquay United","Away","1–1","2,969","Houghton"
"39","13 April 1979","Port Vale","Home","5–3","8,452","Houghton (3), Brownbill, Moore"
"40","14 April 1979","Crewe Alexandra","Away","1–1","4,604","Purdie (pen.)"
"41","16 April 1979","Hartlepool United","Home","2–2","8,217","Wright, Purdie"
"42","21 April 1979","Aldershot","Away","0–1","5,466",""
"43","28 April 1979","Darlington","Home","2–2","6,153","Moore, Brownbill"
"44","1 May 1979","Scunthorpe United","Away","1–0","1,582","Gore"
"45","5 May 1979","Bournemouth","Away","1–2","3,063","Purdie"
"46","7 May 1979","Bradford City","Away","1–1","3,748","Moore"
