Rank	Team	Names	Time	Qualification
1	France	Christophe Capelle\nPhilippe Ermenault\nJean-Michel Monin\nFrancis Moreau	4:09.570	q
2	Italy	Adler Capelli\nMauro Trentini\nAndrea Collinelli\nCristiano Citton	4:09.695	q
3	Australia	Bradley McGee\nStuart O'Grady\nTimothy O'Shannessey Dean Woods	4:09.750	q
4	Ukraine	Bohdan Bondaryev\nOleksandr Fedenko\nAndriy Yatsenko\nAlexander Simonenko	4:11.545	q
5	Russia	Eduard Gritsun\nNikolay Kuznetsov\nAleksey Markov\nAnton Chantyr	4:11.665	q
6	United States	Dirk Copeland\nMariano Friedick\nAdam Laurent\nMichael McCarthy	4:11.950	q
7	Spain	Juan Martinez\nJuan Llaneras\nSantos Gonzalez\nAdolfo Alperi	4:12.780	q
8	New Zealand	Gregory Henderson\nBrendon Cameron\nTimothy Carswell\nJulian Dean	4:15.140	q
9	Germany	Robert Bartko\nGuido Fulst\nDanilo Hondo\nHeiko Szonn	4:15.140	
10	Great Britain	Robert Hayes\nMatthew Illingsworth\nBryan Steel\nChris Newton	4:16.510	
11	Lithuania	Arturas Kasputis\nRemigijus Lupeikis\nMindaugus Umaris\nArturas Trumpauskas	4:16.050	
12	Netherlands	Jarich Bakker\nRobertus Michie Slippens\nRichard Rozendaal\nPeter Schep	4:16.175	
13	Denmark	Frederik Bertelsen\nJimmi Madsen\nMichael Nielsen\nJacob Piil	4:16.175	
14	Argentina	Walter Perez\nEdgardo Simon\nGonzalo Garcia\nGabriel Curuchet	4:20.840	
15	South Korea	Dae-Hong Chun\nYoung Chung\nJong-Mo Kim\nYounk-Sik Noh	4:25.215	
16	Chile	Jose Medina\nLuis Sepulveda\nMarco Arriagada\nMarcelo Arriagada	4:25.960	
17	Colombia	John Garcia\nMarlon Perez\nYovani Lopez\nJos Velasquez de la Cuesta	4:26.400	
