Contestant	Age	Height	Home City	Rank
Isabelle Raisa	16	170 cm (5 ft 7 in)	Vienna	Eliminated in Episode 1
Alina Chlebecek	18	170 cm (5 ft 7 in)	Deutsch-Wagram	Eliminated in Episode 1
Sabrina Angelika Rauch †	21	175 cm (5 ft 9 in)	Graz	Eliminated in Episode 2
Katharina Mihalović	23	179 cm (5 ft 10.5 in)	Vienna	Eliminated in Episode 2
Nataša Marić	16	175 cm (5 ft 9 in)	Liefering (originally from Serbia)	Eliminated in Episode 3
Michaela Schopf	21	172 cm (5 ft 7.5 in)	Salzburg (originally from Germany)	Quit in Episode 4
Christine Riener	20	181 cm (5 ft 11.25 in)	Bludenz	Eliminated in Episode 4
Teodora-Mădălina Andreica	17	177 cm (5 ft 9.5 in)	Romania	Eliminated in Episode 6
Yemisi Rieger	17	177 cm (5 ft 9.5 in)	Vienna	Eliminated in Episode 7
Izabela Pop Kostić	20	170 cm (5 ft 7 in)	Vienna (originally from Bosnia)	Eliminated in Episode 8
Bianca Ebelsberger	24	179 cm (5 ft 10.5 in)	Aurach am Hongar	Eliminated in Episode 9
Nadine Trinker	21	183 cm (6 ft 0 in)	Bodensdorf	Eliminated in Episode 9
Dzejlana "Lana" Baltić	20	179 cm (5 ft 10.5 in)	Graz (originally from Bosnia)	1st Eliminated in Episode 10
Melisa Popanicić	16	175 cm (5 ft 9 in)	Wörgl	2nd Eliminated in Episode 10
Gina Zeneb Adamu	17	175 cm (5 ft 9 in)	Bad Vöslau	Runner-Up
Antonia Maria Hausmair	16	175 cm (5 ft 9 in)	Siegendorf	Winner
