"","Wine","Rank","Beer","Rank","Spirits","Rank","Total","Rank↓"
"Yukon","18.3","1","90.6","1","13.8","1","12.7","1"
"Northwest Territories","8.1","7","55.2","5","10.8","2","9.2","2"
"Alberta","13.9","4","89.8","4","7.6","9","8.6","3"
"Newfoundland & Labrador","6.5","11","93.3","3","7.3","10","8.0","4"
"British Columbia","14.5","3","76.6","12","9.0","7","7.8","5"
"Ontario","11.8","5","84.3","6","8.8","8","7.8","6"
"Quebec","17.4","2","93.9","2","4.1","12","7.8","7"
"Prince Edward Island","7.4","10","78.9","9","9.7","3","7.5","8"
"Nova Scotia","8.0","8","79.5","8","9.1","5","7.5","9"
"Manitoba","8.0","9","76.8","10","9.4","4","7.4","10"
"Saskatchewan","5.0","12","76.8","11","9.1","6","7.0","11"
"New Brunswick","8.4","6","79.8","7","6.8","11","6.7","12"
"Nunavut","Data unavailable","Data unavailable","Data unavailable","Data unavailable","Data unavailable","Data unavailable","Data unavailable","Data unavailable"
"Canada","13.1","","85.6","","7.5","","7.8",""
