"Rank","Country/Territory","Miss Supranational","1st Runner-up","2nd Runner-up","3rd Runner-up","4th Runner-up","Semifinalists","Total"
"1","Belarus","1","2","0","0","0","1","4"
"2","Poland","1","0","1","0","0","3","5"
"3","Philippines","1","0","0","1","0","0","2"
"4","Panama","1","0","0","0","0","2","3"
"5","Ukraine","1","0","0","0","0","2","3"
"6","Czech Republic","0","1","1","0","0","1","3"
"7","Thailand","0","1","0","0","1","1","3"
"8","Mexico","0","1","0","0","0","0","1"
"9","Puerto Rico","0","0","1","0","0","2","3"
"10","Slovenia","0","0","1","0","0","1","2"
"11","Turkey","0","0","1","0","0","0","1"
"12","Honduras","0","0","0","1","0","2","3"
"13","Peru","0","0","0","1","0","1","2"
"13","Vietnam","0","0","0","1","0","1","2"
"15","Indonesia","0","0","0","1","0","0","1"
"16","England","0","0","0","0","1","1","2"
"17","Ecuador","0","0","0","0","1","0","1"
"17","United States","0","0","0","0","1","0","1"
"17","U.S. Virgin Islands","0","0","0","0","1","0","1"
"20","Brazil","0","0","0","0","0","4","4"
"21","Canada","0","0","0","0","0","2","2"
"21","Colombia","0","0","0","0","0","2","2"
"21","Dominican Republic","0","0","0","0","0","2","2"
"21","France","0","0","0","0","0","2","2"
"21","Greece","0","0","0","0","0","2","2"
"21","Iceland","0","0","0","0","0","2","2"
"21","India","0","0","0","0","0","2","2"
"21","Latvia","0","0","0","0","0","2","2"
"21","Russia","0","0","0","0","0","2","2"
"21","South Africa","0","0","0","0","0","2","2"
"21","Venezuela","0","0","0","0","0","2","2"
"32","Albania","0","0","0","0","0","1","1"
"32","Australia","0","0","0","0","0","1","1"
"32","Bahamas","0","0","0","0","0","1","1"
"32","Belgium","0","0","0","0","0","1","1"
"32","Bosnia and Herzegovina","0","0","0","0","0","1","1"
"32","Costa Rica","0","0","0","0","0","1","1"
"32","Croatia","0","0","0","0","0","1","1"
"32","Denmark","0","0","0","0","0","1","1"
"32","Finland","0","0","0","0","0","1","1"
"32","French Polynesia","0","0","0","0","0","1","1"
"32","Gabon","0","0","0","0","0","1","1"
"32","Gambia","0","0","0","0","0","1","1"
"32","Hungary","0","0","0","0","0","1","1"
"32","Kazakhstan","0","0","0","0","0","1","1"
"32","Korea","0","0","0","0","0","1","1"
"32","Lebanon","0","0","0","0","0","1","1"
"32","Lithuania","0","0","0","0","0","1","1"
"32","Luxembourg","0","0","0","0","0","1","1"
"32","Moldova","0","0","0","0","0","1","1"
"32","Myanmar","0","0","0","0","0","1","1"
"32","Portugal","0","0","0","0","0","1","1"
"32","Romania","0","0","0","0","0","1","1"
"32","Slovak Republic","0","0","0","0","0","1","1"
"32","Spain","0","0","0","0","0","1","1"
"32","Suriname","0","0","0","0","0","1","1"
"32","Chinese Taipei","0","0","0","0","0","1","1"
