Region	Date	Format	Version(s)	Label
France	September 4, 2012	Digital download	Main single\nInferno remix\nBluelight remix	Sony Music
Germany	September 4, 2012	Digital download	Inferno remix	Sony Music
United States	September 4, 2012	Digital download	Main single\nInferno remix\nBluelight remix	RCA Records
United States	September 11, 2012	Rhythmic airplay\nUrban airplay	Inferno remix	RCA Records
United States	September 11, 2012	Urban AC airplay	Bluelight remix	RCA Records
United States	October 16, 2012	Mainstream airplay	Main Single\nInferno remix	RCA Records
United States	October 16, 2012	Hot Adult Contemporary airplay	Main Single	RCA Records
Germany	November 2, 2012	CD single	Main single\nInferno remix	Sony Music
United Kingdom	November 18, 2012	Digital EP	Main Single\nBluelight remix\nInferno remix\nInstrumental	RCA Records
United States	March 18, 2013	Adult Contemporary airplay	Main Single	RCA Records
