Map or catalog	Creator	Time created	Contets	links
M45 (伏羲星图Fuxixingtu)		c. 4000 B.C.	Found in a mural in a Neolithic Grave in Henan Puyang (河南濮陽西水坡新石器時代古墓) clam shells arranged in the shape of Big Dipper in the North (北斗Bei Dou) and below the foot, Tiger in the West and Azure Dragon in the East. Also showing Five Stars.	[citation needed]
Wu Xian Star Map\n(商巫咸星圖Shang wu Jian xing Tu)	Wu Xian	c. 1000 BC	Contained 44 Central and Outer constellations totalling 141 stars	[citation needed]
Warring States Period grave lacquer box\n(戰國初年湖北隨縣擂鼓墩曾侯乙墓漆箱)		c. 5th century BC	Indicated location of Big Dipper and 28 Constellations by characters	
Astronomic star observation\n(天文星占Tian Wen xing zhan)	Gan De (甘德)	475-221 B.C.	Contained 75 Central Constellation and 42 Outer Constellations, some said 510 stars in 18 Constellations	[citation needed]
Shi Shen astronomy\n(石申天文Shi Shen Tian wen)\naka. (石氏星经 Shi Shi Xing Jing)	Shi Shen (石申)	c. 350 B.C.	138 Constellations and the name of 810 stars, location of 121 stars, some said it contains The 28 Lunar Ecliptic Constellations, 62 Central Constellations and 30 Outer Constellations	[citation needed]
Han Comet Diagrams\n(湖南長沙馬王堆漢墓帛書)\n(彗星圖Meng xing Tu)		193 BC	Different 29 different types of comets, also record and prediction of positions of Jupiter, Saturn, and Venus during 246–177 B.C.	
Five Star Prediction Device\n(安徽阜陽五星候占儀)		168 BC	Also an Equatorial Device	[citation needed]
Equatorial Armillary Sphere\n(赤道式渾儀)	Luo Xiahong (落下閎)	104 BC 西漢武帝時	lost	[citation needed]
Celestial Globe\n(渾象)\n(圓儀)	Geng Shouchang (耿壽昌)	52 BC 甘露二年Gan Lu Er Ren	lost	[citation needed]
First remark of a constellation in observation in Korean history		49 BC 혁거세 거서간 9년	The star 'Pae'(a kind of comet) appeared in the constellation Wang Rang	Samguk Sagi
First Ecliptic Armillary Sphere\n(黄道仪Huang Dao Yi)	Jia Kui 贾逵	30–101 AD 东汉永元十五年	-	-
Han Grave Mural Star Chart\n(洛阳西汉墓壁画)\n(星象图Xing Xiang Tu)		c. 1st century	Sun, Moon and ten other star charts	
