University	Winner	Runner-Up	Years Won	Years Runner-up
Waseda University	15	15	1965,1966,1968,1970,1971,1973,1974,1976,1987,1989,\n2002,2004,2005,2007,2008	1964,1967,1969,1972,1975,1981,1986,1990,1992,1995,\n1996,2001,2003,2006,2010
Meiji University	12	9	1972,1975,1977,1979,1981,1985,1988,1990,1991,1993,\n1995,1996	1973,1974,1976,1978,1980,1982,1994,1997,1998
Kanto Gakuin University	6	4	1997,1998,2000,2001,2003,2006	1999,2002,2004,2005
Doshisha University	4	2	1980,1982,1983,1984	1979,1987
Hosei University	3	5	1964,1967,1992	1965,1966,1971,1993,2000
Keio University	3	3	1968,1985,1999	1977,1984,2007
Daito Bunka University	3	1	1986,1988,1994	1991
Nippon Sport Science University	2	3	1969,1978	1970,1983,1989
Teikyo University	3	1	2009,2010,2011,2012	2008
Tokai University	0	1		2009
Tenri University	0	1		2011
Tsukuba University	0	1		2012
