"Name","Place","Map ref","Date","Notes","Image"
"Cathedral Church of St. Mary","North Walk, The Close, Salisbury","51°03′54″N 1°47′51″W﻿ / ﻿51.064944°N 1.79738°W","1220","Foundations laid April 25, 1220. Consecrated 1225, 1258 and when completed in 1266.",""
"Salisbury Cathedral School","The Close, Salisbury. SP1 2EQ","51°03′50″N 1°47′46″W﻿ / ﻿51.063886°N 1.796082°W","13/15th century","Initially residential, now a private school.",""
"Malmesbury House","North Walk, The Close, Salisbury","51°03′58″N 1°47′38″W﻿ / ﻿51.066054°N 1.793979°W","1416","Original known as Copt Hall demolished in 1399, still residential.",""
"The Theological College","North Walk, The Close, Salisbury. SP1 2EG","51°03′58″N 1°47′43″W﻿ / ﻿51.0662°N 1.7954°W","Late 17th century","Now called Sarum College, an ecumenical study centre.",""
"The Close Wall, Rosemary Lane","Rosemary Lane, North Walk, The Close, Salisbury, also Exeter St. Salisbury","51°03′54″N 1°47′38″W﻿ / ﻿51.0650°N 1.7939°W","1331","The ancient wall surrounding the Cathedral close on north, east and south sides. Remnants of Old Sarum Cathedral visible.","no image"
"The Matron's College","39-46 The High Street, Salisbury. SP1 2EL","51°04′00″N 1°47′52″W﻿ / ﻿51.066659°N 1.797729°W","1682","Accommodation for clergy widows. Established by Bishop Seth Ward and probably designed by Christopher Wren, still functions with original intent.",""
"North Gate","High St. Salisbury. SP1 2EG","51°04′01″N 1°47′52″W﻿ / ﻿51.066957°N 1.797729°W","14/15th century","Two-storey building over and around north entrance to the Cathedral Close.",""
"Mompesson House","Choristers' Green, The Close Salisbury. SP1 2EG","51°40′01″N 1°47′55″W﻿ / ﻿51.66687°N 1.798486°W","1704","Town house built for Sir Thomas Mompesson, 17/18th century MP, now a historical exhibit.",""
"Screen, Walls, Piers, Gates and Overthrow of Mompesson House","Choristers' Green, The Close Salisbury. SP1 2EG","51°40′01″N 1°47′55″W﻿ / ﻿51.66687°N 1.798486°W","1704","Frontage of house, low wall, iron gate and railings,18th century iron lamps.",""
"Wren Hall","Choristers' Green, The Close, Salisbury. SP1 2EL","51°04′00″N 1°47′57″W﻿ / ﻿51.0666°N 1.7993°W","14/15th century wing of Braybrook House rebuilt in 1714","Originally a cathedral choristers' school, now used as a cathedral education centre.",""
"Braybrooke House","Choristers' Green, The Close. SP1 2EG","51°03′59″N 1°47′59″W﻿ / ﻿51.0664°N 1.7996°W","14/15th century","Initially residential, now a resource centre.",""
"Hemingsby House","Choristers' Green, The Close, Salisbury. SP1 2EL","coord n/a","14/15th century","Former canonry, has appearance of two houses.",""
"The King's House","West Walk, The Close, Salisbury. SP1 2EG","51°03′52″N 1°48′00″W﻿ / ﻿51.064547°N 1.800004°W","13/14th century, altered in 16/17th century","Originally the residence of the Abbot of Sherborne, now a museum.","|-"
"68 West Walk","The Close, Salisbury. SP1 2EN","51°03′50″N 1°48′00″W﻿ / ﻿51.0639°N 1.7999°W","1594","Residential to the present day",""
"Retaining Wall, Screen Railing, Piers and Gates of No. 68 West Walk","68 West Walk, The Close, Salisbury. SP1 2EN","51°03′50″N 1°47′59″W﻿ / ﻿51.0638°N 1.7996°W","circa 1720","Iron decorative screen with gate and low wall.","no image"
"The Walton Canonry","No. 96 West Walk, The Close, Salisbury. SP1 2EN","51°03′47″N 1°47′58″W﻿ / ﻿51.062989°N 1.799505°W","1720","A private residence, named from earlier resident, Canon Walton, son of the angler, still residential.",""
"Leaden Hall","West Walk, The Close, Salisbury. SP1 2EP","51°03′47″N 1°48′00″E﻿ / ﻿51.06305°N 1.79987°E","1717","Original site of canonical house of Elias of Dereham, now part of a private school.","no image"
"South Gate or Harnham Gate and Gatehouse","1 de Vaux Place, Salisbury. SP1 2ES","51°03′45″N 1°47′52″W﻿ / ﻿51.062364°N 1.797729°W","14th Century","Archway, gate and gatehouse. Southern gate into Cathedral Close.",""
"Bishop's Gate","Exeter Street, Salisbury. SP1 2EG","51°03′51″N 1°47′39″W﻿ / ﻿51.064054°N 1.79415°W","13/14th century","The eastern gateway into Cathedral Close","no image"
"St Annes Gate","2 St John's St, Salisbury. SP1 2EG","51°03′57″N 1°47′37″W﻿ / ﻿51.065895°N 1.79368°W","circa 1331","Originally a residence and gateway, now only partly residential but still a gateway.",""
"Church of St. Lawrence","Stratford-sub-Castle, Salisbury","51°05′34″N 1°48′55″W﻿ / ﻿51.092782°N 1.815276°W","Early C13 chancel but consecration recorded for 1326.","Parish Church of the village of Stratford sub Castle",""
"Church of St Martin","St Martin's Church St., Salisbury. SP1 2HY","51°03′56″N 1°47′14″W﻿ / ﻿51.065548°N 1.787188°W","13/14th century","Originally a Saxon church, several restorations.",""
"Church of St Thomas and St Edmund","St Thomas' Square., Salisbury. SP1 1BA","51°04′08″N 1°47′50″W﻿ / ﻿51.068986°N 1.797134°W","Probably 1220","Parish church of New Sarum.",""
