Date	Opponent#	Rank#	Site	Result	Attendance	Record
11/26/1985*	vs. Loyola (Chicago)	#7	Assembly Hall • Champaign, IL	W 95-64	13,143	1-0
11/26/1985*	vs. Hawaii Loa	#7	Kaneohe Armory • Honolulu, HI\n(Hawaii Thanksgiving Invitational)	W 72-45	200	2-0
11/29/1985*	vs. #13 Oklahoma	#7	Kaneohe Armory • Honolulu, HI\n(Hawaii Thanksgiving Invitational)	L 57-59	300	2-1
12/4/1985*	vs. Wisconsin-Green Bay	#12	Assembly Hall • Champaign, IL	W 84-34	13,417	3-1
12/6/1985*	vs. Eastern Kentucky	#12	Assembly Hall • Champaign\n(Illini Classic)	W 79-56	13,707	4-1
12/7/1985*	vs. Utah State	#12	Assembly Hall • Champaign\n(Illini Classic)	W 115-64	13,980	5-1
12/10/1985*	vs. Tennessee	#10	Mabee Center • Tulsa, OK	L 51-54	12,700	5-2
12/14/1985*	vs. Houston	#10	Assembly Hall • Champaign, IL	W 102-92	15,564	6-2
12/21/1985*	vs. Missouri	#15	St. Louis Arena • St. Louis, MO\n(Braggin' Rights)	W 67-55	13,106	7-2
12/23/1985*	vs. Howard	#15	Assembly Hall • Champaign, IL	W 67-55	10,043	8-2
12/30/1985*	vs. Iowa State	#16	Rosemont Horizon • Rosemont, IL	W 64-62	9,876	9-2
1/2/1986	vs. Minnesota	#14	Assembly Hall • Champaign, IL	W 76-57	13,329	10-2 (1-0)
1/4/1986	vs. Iowa	#14	Assembly Hall • Champaign, IL	L 59-60	16,676	10-3 (1-1)
1/8/1986	@ #2 Michigan	#18	Crisler Arena • Ann Arbor, MI	L 59-61	13,609	10-4 (1-2)
1/12/1986	@ Michigan State	#18	Jenison Fieldhouse • East Lansing, MI	L 51-58	7,912	10-5 (1-3)
1/16/1986	vs. Wisconsin	#NR	Assembly Hall • Champaign, IL	W 73-54	12,829	11-5 (2-3)
1/18/1986	vs. Northwestern	#NR	Assembly Hall • Champaign, IL	W 72-46	13,891	12-5 (3-3)
1/23/1986	@ Ohio State	#NR	St. John Arena • Columbus, OH	W 67-65	13,071	13-5 (4-3)
1/25/1986	@ Indiana	#NR	Assembly Hall • Bloomington, IN	L 69-71	17,128	13-6 (4-4)
2/2/1986	vs. Purdue	#NR	Assembly Hall • Champaign, IL	W 80-68	16,412	14-6 (5-4)
2/6/1986	vs. Michigan State	#NR	Assembly Hall • Champaign, IL	L 80-84	15,947	14-7 (5-5)
2/8/1986	vs. Michigan	#NR	Assembly Hall • Champaign, IL	W 83-79 ot	16,353	15-7 (6-5)
2/13/1986	@ Northwestern	#NR	Welsh-Ryan Arena • Evanston, IL	W 75-52	8,117	16-7 (7-5)
2/15/1986	@ Wisconsin	#NR	Wisconsin Field House • Madison, WI	W 82-74	10,605	17-7 (8-5)
2/20/1986	vs. #15 Indiana	#NR	Assembly Hall • Champaign, IL	L 60-61	16,349	17-8 (8-6)
2/22/1986	vs. Ohio State	#NR	Assembly Hall • Champaign, IL	W 66-62	16,376	18-8 (8-7)
2/27/1986	@ #20 Purdue	#NR	Mackey Arena • West Lafayette, IN	W 81-72	14,123	19-8 (9-7)
3/1/1986*	@ #4 Georgia Tech	#12	Alexander Memorial Coliseum • Atlanta, GA	W 59-57	15,148	20-8
3/6/1986	@ Iowa	#19	Carver–Hawkeye Arena • Iowa City, IA	L 53-57	15,450	20-9 (10-7)
3/8/1986	@ Minnesota	#19	Williams Arena • Minneapolis, MN	W 73-64	13,608	21-9 (11-7)
3/14/1986*	vs. Fairfield	#19	Charlotte Coliseum • Charlotte, NC\n(NCAA Tournament)	W 75-51	-	22-9
3/16/1986*	vs. Alabama	#19	Charlotte Coliseum • Charlotte, NC\n(NCAA Tournament)	L 56-58	11,325	22-10
