"Year","Men's winner","Time (h:m:s)","Women's winner","Time (h:m:s)","Finishers"
"1996","Zoltán Káldy (HUN)","1:04:45","Simona Staicu (HUN)","1:11:11","1768"
"1997","Keita Fujino (JPN)","1:03:14","Sachie Ozaki (JPN)","1:11:04","2535"
"1998","Seiji Hamada (JPN)","1:02:44","Kazumi Kanbayashi (JPN)","1:10:37","2703"
"1999","Takaki Morikawa (JPN)","1:03:28","Tomoko Tamamushi (JPN)","1:12:15","3422"
"2000","Piotr Gladki (POL)","1:04:45","Mihaela Botezan (ROM)","1:10:17","4024"
"2001","Sreten Ninković (YUG)","1:04:43","Beáta Rakonczai (HUN)","1:13:33","3912"
"2002","William Kipsang (KEN)","1:02:59","Beáta Rakonczai (HUN)","1:13:39","4403"
"2003","Miklós Zatykó (HUN)","1:05:53","Anikó Kálovics (HUN)","1:11:08","4470"
"2004","Sreten Ninković (SCG)","1:06:51","Anikó Kálovics (HUN)","1:11:18","4601"
"2005","András Juhász (HUN)","1:05:57","Eszter Erdélyi (HUN)","1:16:10","5466"
"2006","Barnabás Bene (HUN)","1:06:32","Anikó Kálovics (HUN)","1:10:46","4964"
"2007","Balázs Ott (HUN)","1:07:19","Krisztina Papp (HUN)","1:12:09","5020"
"2008","Roberto Pasquale Rutigliano (ITA)","1:07:22","Beáta Rakonczai (HUN)","1:14:38","4930"
"2009","Erkolo Ashenafi (ETH)","1:07:24","Krisztina Papp (HUN)","1:15:27","4848"
"2010","László Tóth (HUN)","1:04:38","Krisztina Papp (HUN)","1:13:13","5520"
"2011","Tamás Kovács (HUN)","1:06:03","Anikó Kálovics (HUN)","1:15:04","6203"
"2012","Gábor Józsa (HUN)","1:06:36","Krisztina Papp (HUN)","1:15:07","6751"
"2013","Henry Kemboi (KEN)","1:05:53","Krisztina Papp (HUN)","1:12:32","7436"
