"Name","Type","R.A. (J2000)","Dec. (J2000)","Redshift (km/s)","Apparent Magnitude"
"Camelopardalis A","Irr","04h 26m 16.3s","+72° 48′ 21″","-46 ± 1","14.8"
"Camelopardalis B","Irr","04h 53m 07.1s","+67° 05′ 57″","77","16.1"
"Cassiopeia 1","dIrr","02h 06m 02.8s","+68° 59′ 59″","35","16.4"
"IC 342","SAB(rs)cd","03h 46m 48.5s","+68° 05′ 46″","31 ± 3","9.1"
"KK 35","Irr","03h 45m 12.6s","+67° 51′ 51″","105 ± 1","17.2"
"NGC 1560","SA(s)d","04h 32m 49.1s","+71° 52′ 59″","-36 ± 5","12.2"
"NGC 1569","Sbrst","04h 30m 49.1s","+64° 50′ 52,6″","-104 ± 4","11,2"
"UGCA 86","Im","03h 59m 50.5s","+67° 08′ 37″","67 ± 4","13.5"
"UGCA 92","Im","04h 32m 04.9s","+63° 36′ 49.0″","-99 ± 5","13.8"
"UGCA 105","Im","05h 14m 15.3s","+62° 34′ 48″","111 ± 5","13.9"
