"Place","Player","Country","Score","To par","Money ($)"
"1","Corey Pavin","United States","72-69-71-68=280","E","350,000"
"2","Greg Norman","Australia","68-67-74-73=282","+2","207,000"
"3","Tom Lehman","United States","70-72-67-74=283","+3","131,974"
"T4","Bill Glasson","United States","69-70-76-69=284","+4","66,633"
"T4","Jay Haas","United States","70-73-72-69=284","+4","66,633"
"T4","Neal Lancaster","United States","70-72-77-65=284","+4","66,633"
"T4","Davis Love III","United States","72-68-73-71=284","+4","66,633"
"T4","Jeff Maggert","United States","69-72-77-66=284","+4","66,633"
"T4","Phil Mickelson","United States","68-70-72-74=284","+4","66,633"
"T10","Frank Nobilo","New Zealand","72-72-70-71=285","+5","44,184"
"T10","Vijay Singh","Fiji","70-71-72-72=285","+5","44,184"
"T10","Bob Tway","United States","69-69-72-75=285","+5","44,184"
