Title	Genre	Sub­divisions	Libretto	Première date	Place, theatre	Notes
Zenobia, regina de’ Palmireni	dramma per musica	3 acts	Antonio Marchi	1694, carnival	Venice, Teatro Santi Giovanni e Paolo	version of the score survives in Library of Congress, Washington
Il prodigio dell’innocenza	dramma	3 acts	Fulgenzio Maria Gualazzi	1695, carnival	Venice, Teatro Santi Giovanni e Paolo	music lost
Zenone, imperator d’Oriente	dramma per musica	3 acts	Antonio Marchi	1696, autumn	Venice, Teatro S Cassiano	music lost
Il Tigrane, re d’Armenia	dramma per musica	3 acts	Giulio Cesare Corradi	1697, carnival	Venice, Teatro S Cassiano	music lost
Primislao, primo re di Boemia	dramma per musica	3 acts	Giulio Cesare Corradi	1697, autumn	Venice, Teatro S Cassiano	music lost
L’ingratitudine castigata	dramma per musica	3 acts	Francesco Silvani	1698, carnival	Venice, Teatro S Cassiano	music lost
Radamisto	dramma per musica	3 acts	Antonio Marchi	1698, autumn	Venice, Teatro Sant'Angelo	music lost
Diomede punito da Alcide	dramma	3 acts	Aurelio Aureli	1700, autumn	Venice, Teatro Sant'Angelo	music lost
L’inganno innocente	dramma per musica	3 acts	Francesco Silvani	1701, carnival	Venice, Teatro Sant'Angelo	music lost, except some arias
L’arte in gara con l’arte	dramma per musica	3 acts	Francesco Silvani	1702, carnival	Venice, Teatro S Cassiano	music lost
Griselda	dramma per musica	3 acts	Apostolo Zeno	1703, carnival	Florence, Cocomero	music lost, except three arias
Aminta	dramma regio pastorale	3 acts	Apostolo Zeno	1703, autumn	Florence, Cocomero	music lost
Il più fedel tra i vassalli	dramma per musica	3 acts	Francesco Silvani	1705, autumn	Genoa, Falcone	music lost
La prosperità di Elio Sejano	dramma per musica	3 acts	Nicolò Minato	1707, carnival	Genoa, Falcone	music lost
La fede tra gl’inganni	dramma per musica	3 acts	Francesco Silvani	1707, Carnival	Venice, Teatro Sant'Angelo	music lost
La fortezza al cimento	melodramma	2 acts	Francesco Silvani	1707	Piacenza, Ducale	music lost
Astarto	dramma per musica	3 acts	Apostolo Zeno and Pietro Pariati	1708, autumn	Venice, Teatro S Cassiano	music lost, except some arias
Pimpinone	intermezzo	3 intermezzos	Pietro Pariati	1708, autumn	Venice, Teatro S Cassiano	
Engelberta	dramma per musica	3 acts	Apostolo Zeno and Pietro Pariati	1709, carnival	Venice, Teatro S Cassiano	4th and 5th acts by Francesco Gasparini
Il tradimento tradito	dramma per musica	3 acts	Francesco Silvani	1708, carnival	Venice, Teatro Sant'Angelo	music lost
Ciro	dramma per musica	3 acts	Pietro Pariati	1710, carnival	Venice, Teatro S Cassiano	music lost
Il tiranno eroe	dramma per musica	3 acts	Vincenzo Cassani	1711, carnival	Venice, Teatro S Cassiano	
Il Giustino	dramma per musica	5 acts	Pietro Pariati after Nicolò Beregan	1711, spring	Bologna, Formagliari	music lost
La pace generosa	dramma per musica	3 acts	Francesco Silvani	1711, autumn	Genoa, Falcone	music lost
Le gare generose	dramma per musica	3 acts	Antonio Zaniboni	1712, autumn	Venice, Teatro S Cassiano	music lost, except five arias
Lucio Vero	dramma per musica	3 acts	Apostolo Zeno	1713, spring	Ferrara, S Stefano	music lost
L'amor di figlio non conosciuto	dramma per musica	3 acts	Domenico Lalli	1716, carnival	Venice, Teatro Sant'Angelo	music lost
Eumene	dramma per musica	3 acts	Antonio Salvi	1717, autumn	Venice, Teatro San Giovanni Grisostomo	music lost, except one aria
Meleagro	dramma per musica	3 acts	Pietro Antonio Bernardoni	1718, carnival	Venice, Teatro Sant'Angelo	music lost
Cleomene	dramma per musica	3 acts	Vincenzo Cassani	1718, carnival	Venice, Teatro Sant'Angelo	music lost
Gli eccessi della gelosia	dramma per musica	3 acts	Domenico Lalli	1722, carnival	Venice, Teatro Sant'Angelo	music lost, except some arias
I veri amici	dramma per musica	3 acts	Francesco Silvani and Domenico Lalli after Pierre Corneille	1722, October	Munich, Hof	music lost, except some arias
Il trionfo d’amore	dramma per musica	3 acts	Pietro Pariati	1722, November	Munich	music lost
Eumene	dramma per musica	3 acts	Apostolo Zeno	1723, carnival	Venice, Teatro San Moisè	music lost, except 2 arias
Ermengarda	dramma per musica	3 acts	Antonio Maria Lucchini	1723, autumn	Venice, Teatro San Moisè	music lost
Antigono, tutore di Filippo, re di Macedonia	tragedia	5 acts	Giovanni Piazzon	1724, carnival	Venice, Teatro San Moisè	5th act by Giovanni Porta, music lost
Scipione nelle Spagne	dramma per musica	3 acts	Apostolo Zeno	1724, Ascension	Venice, Teatro San Samuele	music lost
Laodice	dramma per musica	3 acts	Angelo Schietti	1724, autumn	Venice, Teatro San Moisè	music lost, except 2 arias
Didone abbandonata	tragedia	3 acts	Metastasio	1725, carnival	Venice, Teatro S Cassiano	music lost
L'impresario delle Isole Canarie	intermezzo	2 acts	Metastasio	1725, carnival	Venice, Teatro S Cassiano	music lost
Alcina delusa da Ruggero	dramma per musica	3 acts	Antonio Marchi	1725, autumn	Venice, Teatro S Cassiano	music lost
I rivali generosi	dramma per musica	3 acts	Apostolo Zeno	1725	Brescia, Nuovo	
La Statira	dramma per musica	3 acts	Apostolo Zeno and Pietro Pariati	1726, Carnival	Rome, Teatro Capranica	
Malsazio e Fiammetta	intermezzo			1726, Carnival	Rome, Teatro Capranica	
Il trionfo di Armida	dramma per musica	3 acts	Girolamo Colatelli after Torquato Tasso	1726, autumn	Venice, Teatro San Moisè	music lost
L’incostanza schernita	dramma comico-pastorale	3 acts	Vincenzo Cassani	1727, Ascension	Venice, Teatro San Samuele	music lost, except some arias
Le due rivali in amore	dramma per musica	3 acts	Aurelio Aureli	1728, autumn	Venice, Teatro San Moisè	music lost
Il Satrapone	intermezzo		Salvi	1729	Parma, Omodeo	
Li stratagemmi amorosi	dramma per musica	3 acts	F Passerini	1730, carnival	Venice, Teatro San Moisè	music lost
Elenia	dramma per musica	3 acts	Luisa Bergalli	1730, carnival	Venice, Teatro Sant'Angelo	music lost
Merope	dramma	3 acts	Apostolo Zeno	1731, autumn	Prague, Sporck Theater	mostly by Albinoni, music lost
Il più infedel tra gli amanti	dramma per musica	3 acts	Angelo Schietti	1731, autumn	Treviso, Dolphin	music lost
Ardelinda	dramma	3 acts	Bartolomeo Vitturi	1732, autumn	Venice, Teatro Sant'Angelo	music lost, except five arias
Candalide	dramma per musica	3 acts	Bartolomeo Vitturi	1734, carnival	Venice, Teatro Sant'Angelo	music lost
Artamene	dramma per musica	3 acts	Bartolomeo Vitturi	1741, carnival	Venice, Teatro Sant'Angelo	music lost
